ordernumber,orderlinenumber,orderdate,shippeddate,requireddate,customernumber,employeenumber,productcode,status,comments,quantityordered,priceeach,sales_amount,days_to_ship,days_required
10103,9,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_4668,Shipped,Sin comentarios,41,40.75,1670.75,4.0,9
10103,10,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_1097,Shipped,Sin comentarios,35,94.5,3307.5,4.0,9
10103,11,2003-01-29,2003-02-02,2003-02-07,121,1504,S10_1949,Shipped,Sin comentarios,26,214.3,5571.8,4.0,9
10103,12,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_2949,Shipped,Sin comentarios,27,92.19,2489.13,4.0,9
10103,13,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_3136,Shipped,Sin comentarios,25,86.92,2173.0,4.0,9
10103,14,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_2957,Shipped,Sin comentarios,35,61.84,2164.4,4.0,9
10103,15,2003-01-29,2003-02-02,2003-02-07,121,1504,S24_4258,Shipped,Sin comentarios,25,88.62,2215.5,4.0,9
10103,16,2003-01-29,2003-02-02,2003-02-07,121,1504,S18_3320,Shipped,Sin comentarios,46,86.31,3970.26,4.0,9
10104,1,2003-01-31,2003-02-01,2003-02-09,141,1370,S12_3148,Shipped,Sin comentarios,34,131.44,4468.96,1.0,9
10104,2,2003-01-31,2003-02-01,2003-02-09,141,1370,S50_1514,Shipped,Sin comentarios,32,53.31,1705.92,1.0,9
10104,3,2003-01-31,2003-02-01,2003-02-09,141,1370,S18_4027,Shipped,Sin comentarios,38,119.2,4529.6,1.0,9
10104,4,2003-01-31,2003-02-01,2003-02-09,141,1370,S32_3207,Shipped,Sin comentarios,49,56.55,2770.95,1.0,9
10104,5,2003-01-31,2003-02-01,2003-02-09,141,1370,S24_4048,Shipped,Sin comentarios,26,106.45,2767.7,1.0,9
10104,6,2003-01-31,2003-02-01,2003-02-09,141,1370,S24_1444,Shipped,Sin comentarios,35,52.02,1820.7,1.0,9
10104,7,2003-01-31,2003-02-01,2003-02-09,141,1370,S50_1392,Shipped,Sin comentarios,33,114.59,3781.47,1.0,9
10104,8,2003-01-31,2003-02-01,2003-02-09,141,1370,S18_2238,Shipped,Sin comentarios,24,135.9,3261.6,1.0,9
10104,9,2003-01-31,2003-02-01,2003-02-09,141,1370,S12_4473,Shipped,Sin comentarios,41,111.39,4566.99,1.0,9
10104,10,2003-01-31,2003-02-01,2003-02-09,141,1370,S24_2840,Shipped,Sin comentarios,44,30.41,1338.04,1.0,9
10104,11,2003-01-31,2003-02-01,2003-02-09,141,1370,S32_2509,Shipped,Sin comentarios,35,51.95,1818.25,1.0,9
10104,12,2003-01-31,2003-02-01,2003-02-09,141,1370,S18_2319,Shipped,Sin comentarios,29,122.73,3559.17,1.0,9
10104,13,2003-01-31,2003-02-01,2003-02-09,141,1370,S18_3232,Shipped,Sin comentarios,23,165.95,3816.85,1.0,9
10105,1,2003-02-11,2003-02-12,2003-02-21,145,1401,S24_3816,Shipped,Sin comentarios,50,75.47,3773.5,1.0,10
10105,2,2003-02-11,2003-02-12,2003-02-21,145,1401,S10_4757,Shipped,Sin comentarios,50,127.84,6392.0,1.0,10
10105,3,2003-02-11,2003-02-12,2003-02-21,145,1401,S700_2610,Shipped,Sin comentarios,31,60.72,1882.32,1.0,10
10105,4,2003-02-11,2003-02-12,2003-02-21,145,1401,S24_3151,Shipped,Sin comentarios,44,73.46,3232.24,1.0,10
10105,5,2003-02-11,2003-02-12,2003-02-21,145,1401,S700_1138,Shipped,Sin comentarios,41,54.0,2214.0,1.0,10
10105,6,2003-02-11,2003-02-12,2003-02-21,145,1401,S700_3505,Shipped,Sin comentarios,39,92.16,3594.24,1.0,10
10105,7,2003-02-11,2003-02-12,2003-02-21,145,1401,S700_3962,Shipped,Sin comentarios,22,99.31,2184.82,1.0,10
10105,8,2003-02-11,2003-02-12,2003-02-21,145,1401,S72_3212,Shipped,Sin comentarios,25,44.77,1119.25,1.0,10
10105,9,2003-02-11,2003-02-12,2003-02-21,145,1401,S24_2011,Shipped,Sin comentarios,43,117.97,5072.71,1.0,10
10105,10,2003-02-11,2003-02-12,2003-02-21,145,1401,S18_4522,Shipped,Sin comentarios,41,75.48,3094.68,1.0,10
10105,11,2003-02-11,2003-02-12,2003-02-21,145,1401,S18_3140,Shipped,Sin comentarios,22,136.59,3004.98,1.0,10
10105,12,2003-02-11,2003-02-12,2003-02-21,145,1401,S700_1938,Shipped,Sin comentarios,29,86.61,2511.69,1.0,10
10105,13,2003-02-11,2003-02-12,2003-02-21,145,1401,S18_3259,Shipped,Sin comentarios,38,87.73,3333.74,1.0,10
10105,14,2003-02-11,2003-02-12,2003-02-21,145,1401,S12_3891,Shipped,Sin comentarios,29,141.88,4114.52,1.0,10
10105,15,2003-02-11,2003-02-12,2003-02-21,145,1401,S12_1108,Shipped,Sin comentarios,41,205.72,8434.52,1.0,10
10106,1,2003-02-17,2003-02-21,2003-02-24,278,1401,S700_2834,Shipped,Sin comentarios,32,113.9,3644.8,4.0,7
10106,2,2003-02-17,2003-02-21,2003-02-24,278,1401,S18_2581,Shipped,Sin comentarios,34,81.1,2757.4,4.0,7
10106,3,2003-02-17,2003-02-21,2003-02-24,278,1401,S24_4278,Shipped,Sin comentarios,26,71.0,1846.0,4.0,7
10106,4,2003-02-17,2003-02-21,2003-02-24,278,1401,S24_1785,Shipped,Sin comentarios,28,107.23,3002.44,4.0,7
10106,5,2003-02-17,2003-02-21,2003-02-24,278,1401,S32_4289,Shipped,Sin comentarios,33,65.35,2156.55,4.0,7
10106,6,2003-02-17,2003-02-21,2003-02-24,278,1401,S50_1341,Shipped,Sin comentarios,39,35.78,1395.42,4.0,7
10106,7,2003-02-17,2003-02-21,2003-02-24,278,1401,S700_1691,Shipped,Sin comentarios,31,91.34,2831.54,4.0,7
10106,8,2003-02-17,2003-02-21,2003-02-24,278,1401,S700_3167,Shipped,Sin comentarios,44,76.0,3344.0,4.0,7
10106,9,2003-02-17,2003-02-21,2003-02-24,278,1401,S700_2466,Shipped,Sin comentarios,34,99.72,3390.48,4.0,7
10106,10,2003-02-17,2003-02-21,2003-02-24,278,1401,S700_4002,Shipped,Sin comentarios,48,70.33,3375.84,4.0,7
10106,11,2003-02-17,2003-02-21,2003-02-24,278,1401,S24_3949,Shipped,Sin comentarios,50,55.96,2798.0,4.0,7
10106,12,2003-02-17,2003-02-21,2003-02-24,278,1401,S18_1662,Shipped,Sin comentarios,36,134.04,4825.44,4.0,7
10106,13,2003-02-17,2003-02-21,2003-02-24,278,1401,S24_2841,Shipped,Sin comentarios,49,65.77,3222.73,4.0,7
10106,14,2003-02-17,2003-02-21,2003-02-24,278,1401,S24_3420,Shipped,Sin comentarios,31,55.89,1732.59,4.0,7
10106,15,2003-02-17,2003-02-21,2003-02-24,278,1401,S72_1253,Shipped,Sin comentarios,48,43.7,2097.6,4.0,7
10106,16,2003-02-17,2003-02-21,2003-02-24,278,1401,S700_2047,Shipped,Sin comentarios,30,85.09,2552.7,4.0,7
10106,17,2003-02-17,2003-02-21,2003-02-24,278,1401,S18_3856,Shipped,Sin comentarios,41,94.22,3863.02,4.0,7
10106,18,2003-02-17,2003-02-21,2003-02-24,278,1401,S18_3029,Shipped,Sin comentarios,41,80.86,3315.26,4.0,7
10107,1,2003-02-24,2003-02-26,2003-03-03,131,1323,S12_2823,Shipped,Difficult to negotiate with customer. We need more marketing materials,21,122.0,2562.0,2.0,7
10107,2,2003-02-24,2003-02-26,2003-03-03,131,1323,S10_1678,Shipped,Difficult to negotiate with customer. We need more marketing materials,30,81.35,2440.5,2.0,7
10107,3,2003-02-24,2003-02-26,2003-03-03,131,1323,S24_1578,Shipped,Difficult to negotiate with customer. We need more marketing materials,25,96.92,2423.0,2.0,7
10107,4,2003-02-24,2003-02-26,2003-03-03,131,1323,S10_4698,Shipped,Difficult to negotiate with customer. We need more marketing materials,27,172.36,4653.72,2.0,7
10107,5,2003-02-24,2003-02-26,2003-03-03,131,1323,S10_2016,Shipped,Difficult to negotiate with customer. We need more marketing materials,39,105.86,4128.54,2.0,7
10107,6,2003-02-24,2003-02-26,2003-03-03,131,1323,S18_2625,Shipped,Difficult to negotiate with customer. We need more marketing materials,29,52.7,1528.3,2.0,7
10107,7,2003-02-24,2003-02-26,2003-03-03,131,1323,S24_2000,Shipped,Difficult to negotiate with customer. We need more marketing materials,38,73.12,2778.56,2.0,7
10107,8,2003-02-24,2003-02-26,2003-03-03,131,1323,S32_1374,Shipped,Difficult to negotiate with customer. We need more marketing materials,20,88.9,1778.0,2.0,7
10109,1,2003-03-10,2003-03-11,2003-03-19,486,1323,S18_2870,Shipped,Customer requested that FedEx Ground is used for this shipping,26,126.72,3294.72,1.0,9
10109,2,2003-03-10,2003-03-11,2003-03-19,486,1323,S18_3685,Shipped,Customer requested that FedEx Ground is used for this shipping,47,125.74,5909.78,1.0,9
10109,3,2003-03-10,2003-03-11,2003-03-19,486,1323,S18_1984,Shipped,Customer requested that FedEx Ground is used for this shipping,38,137.98,5243.24,1.0,9
10109,4,2003-03-10,2003-03-11,2003-03-19,486,1323,S18_1129,Shipped,Customer requested that FedEx Ground is used for this shipping,26,117.48,3054.48,1.0,9
10109,5,2003-03-10,2003-03-11,2003-03-19,486,1323,S18_3232,Shipped,Customer requested that FedEx Ground is used for this shipping,46,160.87,7400.02,1.0,9
10109,6,2003-03-10,2003-03-11,2003-03-19,486,1323,S24_2972,Shipped,Customer requested that FedEx Ground is used for this shipping,29,32.1,930.9,1.0,9
10110,1,2003-03-18,2003-03-20,2003-03-24,187,1501,S18_2795,Shipped,Sin comentarios,31,163.69,5074.39,2.0,6
10110,2,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_2022,Shipped,Sin comentarios,39,40.77,1590.03,2.0,6
10110,3,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_1937,Shipped,Sin comentarios,20,28.88,577.6,2.0,6
10110,4,2003-03-18,2003-03-20,2003-03-24,187,1501,S18_2325,Shipped,Sin comentarios,33,115.69,3817.77,2.0,6
10110,5,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_3969,Shipped,Sin comentarios,48,35.29,1693.92,2.0,6
10110,6,2003-03-18,2003-03-20,2003-03-24,187,1501,S18_2248,Shipped,Sin comentarios,32,51.46,1646.72,2.0,6
10110,7,2003-03-18,2003-03-20,2003-03-24,187,1501,S18_1749,Shipped,Sin comentarios,42,153.0,6426.0,2.0,6
10110,8,2003-03-18,2003-03-20,2003-03-24,187,1501,S18_4409,Shipped,Sin comentarios,28,81.91,2293.48,2.0,6
10110,9,2003-03-18,2003-03-20,2003-03-24,187,1501,S18_4933,Shipped,Sin comentarios,42,62.0,2604.0,2.0,6
10110,10,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_2887,Shipped,Sin comentarios,46,112.74,5186.04,2.0,6
10110,11,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_2766,Shipped,Sin comentarios,43,82.69,3555.67,2.0,6
10110,12,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_3191,Shipped,Sin comentarios,27,80.47,2172.69,2.0,6
10110,13,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_1046,Shipped,Sin comentarios,36,72.02,2592.72,2.0,6
10110,14,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_3432,Shipped,Sin comentarios,37,96.37,3565.69,2.0,6
10110,15,2003-03-18,2003-03-20,2003-03-24,187,1501,S24_1628,Shipped,Sin comentarios,29,43.27,1254.83,2.0,6
10110,16,2003-03-18,2003-03-20,2003-03-24,187,1501,S18_1589,Shipped,Sin comentarios,37,118.22,4374.14,2.0,6
10111,1,2003-03-25,2003-03-30,2003-03-31,129,1165,S18_3136,Shipped,Sin comentarios,43,94.25,4052.75,5.0,6
10111,2,2003-03-25,2003-03-30,2003-03-31,129,1165,S18_2957,Shipped,Sin comentarios,28,53.09,1486.52,5.0,6
10111,3,2003-03-25,2003-03-30,2003-03-31,129,1165,S24_4258,Shipped,Sin comentarios,26,85.7,2228.2,5.0,6
10111,4,2003-03-25,2003-03-30,2003-03-31,129,1165,S18_3320,Shipped,Sin comentarios,39,91.27,3559.53,5.0,6
10111,5,2003-03-25,2003-03-30,2003-03-31,129,1165,S18_1367,Shipped,Sin comentarios,48,48.52,2328.96,5.0,6
10111,6,2003-03-25,2003-03-30,2003-03-31,129,1165,S18_1342,Shipped,Sin comentarios,33,87.33,2881.89,5.0,6
10112,1,2003-03-24,2003-03-29,2003-04-03,144,1504,S10_1949,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",29,197.16,5717.64,5.0,10
10112,2,2003-03-24,2003-03-29,2003-04-03,144,1504,S18_2949,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",23,85.1,1957.3,5.0,10
10113,1,2003-03-26,2003-03-27,2003-04-02,124,1165,S32_3522,Shipped,Sin comentarios,23,58.82,1352.86,1.0,7
10113,2,2003-03-26,2003-03-27,2003-04-02,124,1165,S12_1666,Shipped,Sin comentarios,21,121.64,2554.44,1.0,7
10113,3,2003-03-26,2003-03-27,2003-04-02,124,1165,S18_4668,Shipped,Sin comentarios,50,43.27,2163.5,1.0,7
10113,4,2003-03-26,2003-03-27,2003-04-02,124,1165,S18_1097,Shipped,Sin comentarios,49,101.5,4973.5,1.0,7
10114,1,2003-04-01,2003-04-02,2003-04-07,172,1337,S24_2840,Shipped,Sin comentarios,24,28.64,687.36,1.0,6
10114,2,2003-04-01,2003-04-02,2003-04-07,172,1337,S32_2509,Shipped,Sin comentarios,28,43.83,1227.24,1.0,6
10114,3,2003-04-01,2003-04-02,2003-04-07,172,1337,S18_2319,Shipped,Sin comentarios,39,106.78,4164.42,1.0,6
10114,4,2003-04-01,2003-04-02,2003-04-07,172,1337,S18_3232,Shipped,Sin comentarios,48,169.34,8128.32,1.0,6
10114,5,2003-04-01,2003-04-02,2003-04-07,172,1337,S24_2300,Shipped,Sin comentarios,21,102.23,2146.83,1.0,6
10114,6,2003-04-01,2003-04-02,2003-04-07,172,1337,S18_2432,Shipped,Sin comentarios,45,53.48,2406.6,1.0,6
10114,7,2003-04-01,2003-04-02,2003-04-07,172,1337,S32_1268,Shipped,Sin comentarios,32,88.61,2835.52,1.0,6
10114,8,2003-04-01,2003-04-02,2003-04-07,172,1337,S10_4962,Shipped,Sin comentarios,31,128.53,3984.43,1.0,6
10114,9,2003-04-01,2003-04-02,2003-04-07,172,1337,S18_4600,Shipped,Sin comentarios,41,105.34,4318.94,1.0,6
10114,10,2003-04-01,2003-04-02,2003-04-07,172,1337,S700_2824,Shipped,Sin comentarios,42,82.94,3483.48,1.0,6
10115,1,2003-04-04,2003-04-07,2003-04-12,424,1286,S24_4048,Shipped,Sin comentarios,44,106.45,4683.8,3.0,8
10115,2,2003-04-04,2003-04-07,2003-04-12,424,1286,S24_1444,Shipped,Sin comentarios,47,56.64,2662.08,3.0,8
10115,3,2003-04-04,2003-04-07,2003-04-12,424,1286,S50_1392,Shipped,Sin comentarios,27,100.7,2718.9,3.0,8
10115,4,2003-04-04,2003-04-07,2003-04-12,424,1286,S18_2238,Shipped,Sin comentarios,46,140.81,6477.26,3.0,8
10115,5,2003-04-04,2003-04-07,2003-04-12,424,1286,S12_4473,Shipped,Sin comentarios,46,111.39,5123.94,3.0,8
10116,1,2003-04-11,2003-04-13,2003-04-19,381,1401,S32_3207,Shipped,Sin comentarios,27,60.28,1627.56,2.0,8
10118,1,2003-04-21,2003-04-26,2003-04-29,216,1702,S700_3505,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,36,86.15,3101.4,5.0,8
10119,1,2003-04-28,2003-05-02,2003-05-05,382,1401,S700_4002,Shipped,Sin comentarios,26,63.67,1655.42,4.0,7
10119,2,2003-04-28,2003-05-02,2003-05-05,382,1401,S24_3949,Shipped,Sin comentarios,28,62.1,1738.8,4.0,7
10119,3,2003-04-28,2003-05-02,2003-05-05,382,1401,S18_1662,Shipped,Sin comentarios,43,151.38,6509.34,4.0,7
10119,4,2003-04-28,2003-05-02,2003-05-05,382,1401,S24_2841,Shipped,Sin comentarios,41,64.4,2640.4,4.0,7
10119,5,2003-04-28,2003-05-02,2003-05-05,382,1401,S24_3420,Shipped,Sin comentarios,20,63.12,1262.4,4.0,7
10119,6,2003-04-28,2003-05-02,2003-05-05,382,1401,S72_1253,Shipped,Sin comentarios,28,40.22,1126.16,4.0,7
10119,7,2003-04-28,2003-05-02,2003-05-05,382,1401,S700_2047,Shipped,Sin comentarios,29,74.23,2152.67,4.0,7
10119,8,2003-04-28,2003-05-02,2003-05-05,382,1401,S18_3856,Shipped,Sin comentarios,27,95.28,2572.56,4.0,7
10119,9,2003-04-28,2003-05-02,2003-05-05,382,1401,S18_3029,Shipped,Sin comentarios,21,74.84,1571.64,4.0,7
10119,10,2003-04-28,2003-05-02,2003-05-05,382,1401,S24_3816,Shipped,Sin comentarios,35,82.18,2876.3,4.0,7
10119,11,2003-04-28,2003-05-02,2003-05-05,382,1401,S10_4757,Shipped,Sin comentarios,46,112.88,5192.48,4.0,7
10119,12,2003-04-28,2003-05-02,2003-05-05,382,1401,S700_2610,Shipped,Sin comentarios,38,67.22,2554.36,4.0,7
10119,13,2003-04-28,2003-05-02,2003-05-05,382,1401,S24_3151,Shipped,Sin comentarios,35,72.58,2540.3,4.0,7
10119,14,2003-04-28,2003-05-02,2003-05-05,382,1401,S700_1138,Shipped,Sin comentarios,25,57.34,1433.5,4.0,7
10120,1,2003-04-29,2003-05-01,2003-05-08,114,1611,S24_1578,Shipped,Sin comentarios,35,110.45,3865.75,2.0,9
10120,2,2003-04-29,2003-05-01,2003-05-08,114,1611,S10_4698,Shipped,Sin comentarios,46,158.8,7304.8,2.0,9
10120,3,2003-04-29,2003-05-01,2003-05-08,114,1611,S10_2016,Shipped,Sin comentarios,29,118.94,3449.26,2.0,9
10120,4,2003-04-29,2003-05-01,2003-05-08,114,1611,S18_2625,Shipped,Sin comentarios,46,57.54,2646.84,2.0,9
10120,5,2003-04-29,2003-05-01,2003-05-08,114,1611,S24_2000,Shipped,Sin comentarios,34,72.36,2460.24,2.0,9
10120,6,2003-04-29,2003-05-01,2003-05-08,114,1611,S32_1374,Shipped,Sin comentarios,22,94.9,2087.8,2.0,9
10120,7,2003-04-29,2003-05-01,2003-05-08,114,1611,S700_2834,Shipped,Sin comentarios,24,106.79,2562.96,2.0,9
10120,8,2003-04-29,2003-05-01,2003-05-08,114,1611,S18_2581,Shipped,Sin comentarios,29,82.79,2400.91,2.0,9
10120,9,2003-04-29,2003-05-01,2003-05-08,114,1611,S24_4278,Shipped,Sin comentarios,29,71.73,2080.17,2.0,9
10120,10,2003-04-29,2003-05-01,2003-05-08,114,1611,S24_1785,Shipped,Sin comentarios,39,93.01,3627.39,2.0,9
10120,11,2003-04-29,2003-05-01,2003-05-08,114,1611,S32_4289,Shipped,Sin comentarios,29,68.79,1994.91,2.0,9
10120,12,2003-04-29,2003-05-01,2003-05-08,114,1611,S50_1341,Shipped,Sin comentarios,49,41.46,2031.54,2.0,9
10120,13,2003-04-29,2003-05-01,2003-05-08,114,1611,S700_1691,Shipped,Sin comentarios,47,91.34,4292.98,2.0,9
10120,14,2003-04-29,2003-05-01,2003-05-08,114,1611,S700_3167,Shipped,Sin comentarios,43,72.0,3096.0,2.0,9
10120,15,2003-04-29,2003-05-01,2003-05-08,114,1611,S700_2466,Shipped,Sin comentarios,24,81.77,1962.48,2.0,9
10121,1,2003-05-07,2003-05-13,2003-05-13,353,1337,S50_4713,Shipped,Sin comentarios,44,72.41,3186.04,6.0,6
10121,2,2003-05-07,2003-05-13,2003-05-13,353,1337,S24_2360,Shipped,Sin comentarios,32,58.18,1861.76,6.0,6
10121,3,2003-05-07,2003-05-13,2003-05-13,353,1337,S32_4485,Shipped,Sin comentarios,25,95.93,2398.25,6.0,6
10121,4,2003-05-07,2003-05-13,2003-05-13,353,1337,S12_2823,Shipped,Sin comentarios,50,126.52,6326.0,6.0,6
10121,5,2003-05-07,2003-05-13,2003-05-13,353,1337,S10_1678,Shipped,Sin comentarios,34,86.13,2928.42,6.0,6
10122,1,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_1984,Shipped,Sin comentarios,31,113.8,3527.8,5.0,8
10122,2,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_1129,Shipped,Sin comentarios,34,114.65,3898.1,5.0,8
10122,3,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_3232,Shipped,Sin comentarios,25,137.17,3429.25,5.0,8
10122,4,2003-05-08,2003-05-13,2003-05-16,350,1337,S24_2972,Shipped,Sin comentarios,39,34.74,1354.86,5.0,8
10122,5,2003-05-08,2003-05-13,2003-05-16,350,1337,S24_3856,Shipped,Sin comentarios,43,136.22,5857.46,5.0,8
10122,6,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_1889,Shipped,Sin comentarios,43,62.37,2681.91,5.0,8
10122,7,2003-05-08,2003-05-13,2003-05-16,350,1337,S12_4675,Shipped,Sin comentarios,20,104.8,2096.0,5.0,8
10122,8,2003-05-08,2003-05-13,2003-05-16,350,1337,S12_3380,Shipped,Sin comentarios,37,113.92,4215.04,5.0,8
10122,9,2003-05-08,2003-05-13,2003-05-16,350,1337,S24_3371,Shipped,Sin comentarios,34,50.82,1727.88,5.0,8
10122,10,2003-05-08,2003-05-13,2003-05-16,350,1337,S12_1099,Shipped,Sin comentarios,42,155.66,6537.72,5.0,8
10122,11,2003-05-08,2003-05-13,2003-05-16,350,1337,S12_3990,Shipped,Sin comentarios,32,65.44,2094.08,5.0,8
10122,12,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_3482,Shipped,Sin comentarios,21,133.76,2808.96,5.0,8
10122,13,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_3278,Shipped,Sin comentarios,21,69.15,1452.15,5.0,8
10122,14,2003-05-08,2003-05-13,2003-05-16,350,1337,S24_4620,Shipped,Sin comentarios,29,67.1,1945.9,5.0,8
10122,15,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_4721,Shipped,Sin comentarios,28,145.82,4082.96,5.0,8
10122,16,2003-05-08,2003-05-13,2003-05-16,350,1337,S18_3782,Shipped,Sin comentarios,35,59.06,2067.1,5.0,8
10122,17,2003-05-08,2003-05-13,2003-05-16,350,1337,S32_2206,Shipped,Sin comentarios,31,33.79,1047.49,5.0,8
10123,1,2003-05-20,2003-05-22,2003-05-29,103,1370,S24_1628,Shipped,Sin comentarios,50,43.27,2163.5,2.0,9
10123,2,2003-05-20,2003-05-22,2003-05-29,103,1370,S18_1589,Shipped,Sin comentarios,26,120.71,3138.46,2.0,9
10123,3,2003-05-20,2003-05-22,2003-05-29,103,1370,S18_2870,Shipped,Sin comentarios,46,114.84,5282.64,2.0,9
10123,4,2003-05-20,2003-05-22,2003-05-29,103,1370,S18_3685,Shipped,Sin comentarios,34,117.26,3986.84,2.0,9
10124,1,2003-05-21,2003-05-25,2003-05-29,112,1166,S24_2022,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,22,36.29,798.38,4.0,8
10124,2,2003-05-21,2003-05-25,2003-05-29,112,1166,S24_1937,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,45,30.53,1373.85,4.0,8
10124,3,2003-05-21,2003-05-25,2003-05-29,112,1166,S18_2325,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,42,111.87,4698.54,4.0,8
10124,4,2003-05-21,2003-05-25,2003-05-29,112,1166,S24_3969,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,46,36.11,1661.06,4.0,8
10124,5,2003-05-21,2003-05-25,2003-05-29,112,1166,S18_2248,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,42,58.12,2441.04,4.0,8
10124,6,2003-05-21,2003-05-25,2003-05-29,112,1166,S18_1749,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,21,153.0,3213.0,4.0,8
10124,7,2003-05-21,2003-05-25,2003-05-29,112,1166,S18_4409,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,36,75.46,2716.56,4.0,8
10124,8,2003-05-21,2003-05-25,2003-05-29,112,1166,S18_4933,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,23,66.28,1524.44,4.0,8
10124,9,2003-05-21,2003-05-25,2003-05-29,112,1166,S24_2887,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,25,93.95,2348.75,4.0,8
10124,10,2003-05-21,2003-05-25,2003-05-29,112,1166,S24_2766,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,32,74.51,2384.32,4.0,8
10124,11,2003-05-21,2003-05-25,2003-05-29,112,1166,S24_3191,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,49,76.19,3733.31,4.0,8
