factura_id,cliente_id,fecha_factura,monto,estado_pago
F164,C0164,2025-03-05,56.8,Cobrado
F165,C0165,2025-03-23,328.51,Pendiente
F166,C0166,2025-03-11,94.16,Pendiente
F167,C0167,2025-03-21,94.52,Pendiente
F168,C0168,2025-03-19,490.84,Pendiente
F169,C0169,2025-04-04,310.1,Cobrado
F170,C0170,2025-03-18,139.14,Cobrado
F171,C0171,2025-03-22,234.95,Pendiente
F172,C0172,2025-03-23,471.82,Pendiente
F173,C0173,2025-03-28,111.95,Cobrado
F174,C0174,2025-03-06,69.14,Cobrado
F175,C0175,2025-03-28,132.66,Cobrado
F176,C0176,2025-03-06,336.32,Cobrado
F177,C0177,2025-03-15,448.65,Cobrado
F178,C0178,2025-03-21,191.98,Cobrado
F179,C0179,2025-04-02,232.84,Cobrado
F180,C0180,2025-03-29,318.39,Cobrado
F181,C0181,2025-03-05,348.83,Pendiente
F182,C0182,2025-03-20,108.17,Cobrado
F183,C0183,2025-03-20,292.62,Cobrado
F184,C0184,2025-03-21,312.17,Cobrado
F185,C0185,2025-03-16,282.7,Cobrado
F186,C0186,2025-03-30,425.11,Pendiente
F187,C0187,2025-03-11,319.5,Pendiente
F188,C0188,2025-03-07,491.82,Pendiente
F189,C0189,2025-03-27,327.91,Cobrado
F190,C0190,2025-03-09,175.2,Pendiente
F191,C0191,2025-03-15,375.62,Cobrado
F192,C0192,2025-04-04,478.39,Cobrado
F193,C0193,2025-03-05,357.79,Cobrado
F194,C0194,2025-03-08,378.45,Pendiente
F195,C0195,2025-04-03,214.85,Cobrado
F196,C0196,2025-03-20,420.32,Pendiente
F197,C0197,2025-03-09,290.33,Pendiente
F198,C0198,2025-03-26,159.79,Pendiente
F199,C0199,2025-03-25,345.08,Cobrado
F200,C0200,2025-03-21,232.75,Pendiente
F201,C0201,2025-03-27,233.68,Cobrado
F202,C0202,2025-03-25,443.57,Pendiente
F203,C0203,2025-03-09,387.35,Pendiente
F204,C0204,2025-03-19,292.79,Cobrado
F205,C0205,2025-03-29,255.35,Cobrado
F206,C0206,2025-03-19,157.26,Pendiente
F207,C0207,2025-03-29,213.33,Cobrado
F208,C0208,2025-03-06,451.53,Pendiente
F209,C0209,2025-03-21,67.19,Pendiente
F210,C0210,2025-03-11,293.68,Pendiente
F211,C0211,2025-03-11,262.1,Cobrado
F212,C0212,2025-03-27,291.94,Cobrado
F213,C0213,2025-03-28,376.12,Pendiente
F214,C0214,2025-03-16,100.96,Pendiente
F215,C0215,2025-03-27,353.8,Cobrado
F216,C0216,2025-04-04,475.9,Pendiente
F217,C0217,2025-03-16,301.06,Pendiente
F218,C0218,2025-03-11,387.41,Pendiente
F219,C0219,2025-03-23,79.45,Pendiente
F220,C0220,2025-03-14,437.86,Cobrado
F221,C0221,2025-03-09,114.53,Cobrado
F222,C0222,2025-04-01,58.6,Pendiente
F223,C0223,2025-03-17,202.89,Pendiente
F224,C0224,2025-03-14,183.61,Cobrado
F225,C0225,2025-03-24,74.14,Pendiente
F226,C0226,2025-03-13,223.62,Pendiente
F227,C0227,2025-03-21,147.11,Pendiente
F228,C0228,2025-03-26,249.9,Pendiente
F229,C0229,2025-03-18,387.07,Cobrado
F230,C0230,2025-04-03,242.19,Pendiente
F231,C0231,2025-03-30,380.08,Pendiente
F232,C0232,2025-03-27,200.3,Cobrado
F233,C0233,2025-03-15,146.85,Pendiente
F234,C0234,2025-03-11,247.28,Pendiente
F235,C0235,2025-03-25,187.26,Pendiente
F236,C0236,2025-03-17,254.13,Cobrado
F237,C0237,2025-03-31,454.58,Pendiente
F238,C0238,2025-03-20,248.2,Cobrado
F239,C0239,2025-03-24,204.75,Pendiente
F240,C0240,2025-04-03,293.74,Cobrado
F241,C0241,2025-03-24,334.84,Pendiente
F242,C0242,2025-03-11,282.96,Pendiente
F243,C0243,2025-04-05,276.63,Pendiente
F244,C0244,2025-03-09,255.92,Cobrado
F245,C0245,2025-03-19,331.9,Pendiente
F246,C0246,2025-03-08,275.49,Pendiente
F247,C0247,2025-03-12,387.09,Cobrado
F248,C0248,2025-03-06,440.62,Pendiente
F249,C0249,2025-03-26,174.51,Pendiente
F250,C0250,2025-03-28,374.67,Pendiente
F251,C0251,2025-03-09,204.87,Cobrado
F252,C0252,2025-03-07,426.3,Cobrado
F253,C0253,2025-03-28,283.46,Pendiente
F254,C0254,2025-03-11,141.92,Pendiente
F255,C0255,2025-03-16,76.39,Pendiente
F256,C0256,2025-03-07,293.68,Pendiente
F257,C0257,2025-03-19,486.75,Cobrado
F258,C0258,2025-03-31,462.59,Pendiente
F259,C0259,2025-03-18,336.63,Cobrado
F260,C0260,2025-03-08,443.86,Cobrado
F261,C0261,2025-03-27,340.2,Cobrado
F262,C0262,2025-03-22,190.79,Cobrado
F263,C0263,2025-03-19,253.4,Pendiente
F264,C0264,2025-03-19,419.37,Cobrado
F265,C0265,2025-03-29,107.27,Cobrado
F266,C0266,2025-03-18,227.56,Pendiente
F267,C0267,2025-03-11,496.04,Cobrado
F268,C0268,2025-04-03,229.22,Pendiente
F269,C0269,2025-03-22,337.28,Pendiente
F270,C0270,2025-03-20,384.43,Pendiente
F271,C0271,2025-03-08,318.11,Pendiente
F272,C0272,2025-03-28,65.52,Pendiente
F273,C0273,2025-03-05,100.93,Cobrado
F274,C0274,2025-03-15,312.05,Pendiente
F275,C0275,2025-04-05,410.12,Pendiente
F276,C0276,2025-03-14,97.4,Cobrado
F277,C0277,2025-04-01,377.46,Cobrado
F278,C0278,2025-03-20,117.57,Cobrado
F279,C0279,2025-03-16,313.04,Pendiente
F280,C0280,2025-03-20,459.72,Cobrado
F281,C0281,2025-03-27,381.9,Pendiente
F282,C0282,2025-04-02,332.54,Pendiente
F283,C0283,2025-03-07,348.14,Cobrado
F284,C0284,2025-03-21,105.71,Cobrado
F285,C0285,2025-03-20,418.28,Cobrado
F286,C0286,2025-03-06,254.01,Pendiente
F287,C0287,2025-04-03,111.31,Cobrado
F288,C0288,2025-04-03,76.93,Pendiente
F289,C0289,2025-03-17,294.87,Pendiente
F290,C0290,2025-03-30,332.22,Cobrado
F291,C0291,2025-03-13,207.94,Cobrado
F292,C0292,2025-03-17,303.69,Pendiente
F293,C0293,2025-03-24,282.01,Pendiente
F294,C0294,2025-03-19,386.95,Cobrado
F295,C0295,2025-03-19,190.5,Cobrado
F296,C0296,2025-04-03,313.27,Pendiente
F297,C0297,2025-03-11,229.25,Cobrado
F298,C0298,2025-03-21,290.47,Cobrado
F299,C0299,2025-03-27,207.09,Cobrado
F300,C0300,2025-04-01,490.27,Pendiente
F301,C0301,2025-04-02,288.22,Cobrado
F302,C0302,2025-03-23,205.85,Cobrado
F303,C0303,2025-03-09,280.21,Pendiente
F304,C0304,2025-03-22,390.93,Pendiente
F305,C0305,2025-03-21,472.81,Cobrado
F306,C0306,2025-03-21,473.5,Pendiente
F307,C0307,2025-03-07,395.51,Pendiente
F308,C0308,2025-03-05,399.64,Pendiente
F309,C0309,2025-03-27,56.59,Pendiente
F310,C0310,2025-03-30,58.89,Pendiente
F311,C0311,2025-03-13,432.16,Cobrado
F312,C0312,2025-03-14,407.1,Cobrado
F313,C0313,2025-03-11,417.5,Cobrado
F314,C0314,2025-04-02,353.45,Pendiente
F315,C0315,2025-04-05,133.17,Cobrado
F316,C0316,2025-03-26,385.13,Pendiente
F317,C0317,2025-03-28,289.46,Pendiente
F318,C0318,2025-03-29,90.87,Pendiente
F319,C0319,2025-03-25,164.7,Cobrado
F320,C0320,2025-03-26,298.63,Cobrado
F321,C0321,2025-03-20,409.88,Cobrado
F322,C0322,2025-03-23,427.95,Pendiente
F323,C0323,2025-03-27,203.08,Pendiente
F324,C0324,2025-03-21,174.01,Pendiente
F325,C0325,2025-03-13,90.52,Pendiente
F326,C0326,2025-04-02,348.72,Pendiente
F327,C0327,2025-03-21,102.96,Cobrado
F328,C0328,2025-04-03,97.2,Cobrado
F329,C0329,2025-03-10,428.51,Cobrado
F330,C0330,2025-03-28,446.32,Cobrado
F331,C0331,2025-04-04,480.12,Cobrado
F332,C0332,2025-03-17,248.65,Cobrado
F333,C0333,2025-03-18,150.11,Cobrado
F334,C0334,2025-03-16,395.28,Cobrado
F335,C0335,2025-03-28,387.67,Cobrado
F336,C0336,2025-03-08,219.84,Cobrado
F337,C0337,2025-03-15,458.2,Pendiente
F338,C0338,2025-03-10,470.92,Pendiente
F339,C0339,2025-03-20,110.41,Cobrado
F340,C0340,2025-03-10,334.93,Pendiente
F341,C0341,2025-03-19,336.18,Cobrado
F342,C0342,2025-03-27,366.85,Cobrado
F343,C0343,2025-03-23,95.92,Pendiente
F344,C0344,2025-03-16,355.74,Pendiente
F345,C0345,2025-03-26,486.68,Pendiente
F346,C0346,2025-03-26,319.74,Pendiente
F347,C0347,2025-03-19,378.82,Cobrado
F348,C0348,2025-03-14,421.32,Pendiente
F349,C0349,2025-03-22,203.85,Cobrado
F350,C0350,2025-03-16,129.05,Pendiente
F351,C0351,2025-03-29,164.86,Cobrado
F352,C0352,2025-03-07,262.37,Pendiente
F353,C0353,2025-03-20,266.29,Pendiente
F354,C0354,2025-04-01,57.17,Pendiente
F355,C0355,2025-03-19,330.46,Cobrado
F356,C0356,2025-03-27,63.23,Cobrado
F357,C0357,2025-03-30,150.49,Pendiente
F358,C0358,2025-03-14,329.91,Cobrado
F359,C0359,2025-03-29,384.26,Cobrado
F360,C0360,2025-03-09,201.02,Cobrado
F361,C0361,2025-03-23,325.93,Pendiente
F362,C0362,2025-03-27,328.43,Cobrado
F363,C0363,2025-03-20,147.52,Pendiente
F364,C0364,2025-03-13,88.0,Pendiente
F365,C0365,2025-04-04,57.14,Pendiente
F366,C0366,2025-04-05,376.7,Cobrado
F367,C0367,2025-03-12,146.03,Cobrado
F368,C0368,2025-03-22,414.32,Cobrado
F369,C0369,2025-03-10,240.67,Cobrado
F370,C0370,2025-03-19,411.59,Cobrado
F371,C0371,2025-04-03,301.08,Pendiente
F372,C0372,2025-03-27,150.55,Pendiente
F373,C0373,2025-04-05,270.63,Pendiente
F374,C0374,2025-03-14,369.27,Pendiente
F375,C0375,2025-03-15,333.59,Pendiente
F376,C0376,2025-03-28,395.04,Pendiente
F377,C0377,2025-03-17,55.51,Pendiente
F378,C0378,2025-04-03,362.79,Cobrado
F379,C0379,2025-03-26,496.57,Pendiente
F380,C0380,2025-04-03,345.9,Cobrado
F381,C0381,2025-03-19,448.9,Pendiente
F382,C0382,2025-03-19,484.68,Cobrado
F383,C0383,2025-03-26,409.99,Pendiente
F384,C0384,2025-03-22,131.02,Cobrado
F385,C0385,2025-03-19,267.53,Cobrado
F386,C0386,2025-03-28,206.12,Cobrado
F387,C0387,2025-03-21,146.13,Cobrado
F388,C0388,2025-03-13,261.77,Cobrado
F389,C0389,2025-03-14,66.23,Cobrado
F390,C0390,2025-03-20,65.2,Cobrado
F391,C0391,2025-03-22,280.83,Cobrado
F392,C0392,2025-03-11,208.35,Cobrado
F393,C0393,2025-03-13,236.0,Cobrado
F394,C0394,2025-03-16,57.76,Cobrado
F395,C0395,2025-03-09,203.39,Cobrado
F396,C0396,2025-03-16,71.5,Pendiente
F397,C0397,2025-03-08,277.07,Pendiente
F398,C0398,2025-03-15,100.96,Cobrado
F399,C0399,2025-03-22,362.65,Pendiente
F400,C0400,2025-03-20,361.95,Pendiente
F401,C0401,2025-03-13,109.36,Pendiente
F402,C0402,2025-03-06,70.19,Cobrado
F403,C0403,2025-04-01,94.08,Pendiente
F404,C0404,2025-03-16,389.5,Pendiente
F405,C0405,2025-04-01,237.92,Cobrado
F406,C0406,2025-03-29,274.08,Cobrado
F407,C0407,2025-03-08,235.66,Cobrado
F408,C0408,2025-03-12,137.64,Cobrado
F409,C0409,2025-04-01,298.53,Pendiente
F410,C0410,2025-03-07,445.53,Pendiente
F411,C0411,2025-03-17,409.91,Pendiente
F412,C0412,2025-03-16,291.74,Pendiente
F413,C0413,2025-03-13,333.62,Cobrado
F414,C0414,2025-04-05,244.18,Pendiente
F415,C0415,2025-03-05,114.99,Pendiente
F416,C0416,2025-03-24,491.92,Cobrado
F417,C0417,2025-03-16,71.96,Cobrado
F418,C0418,2025-03-16,456.32,Cobrado
F419,C0419,2025-03-06,163.9,Pendiente
F420,C0420,2025-03-28,153.46,Cobrado
F421,C0421,2025-03-28,122.97,Pendiente
F422,C0422,2025-03-10,115.08,Cobrado
F423,C0423,2025-03-07,300.58,Pendiente
F424,C0424,2025-03-28,65.29,Pendiente
F425,C0425,2025-03-28,314.25,Pendiente
F426,C0426,2025-03-13,446.23,Cobrado
F427,C0427,2025-03-26,499.91,Cobrado
F428,C0428,2025-03-29,318.8,Pendiente
F429,C0429,2025-03-07,472.25,Cobrado
F430,C0430,2025-03-28,475.28,Cobrado
F431,C0431,2025-03-12,218.46,Pendiente
F432,C0432,2025-03-14,414.11,Pendiente
F433,C0433,2025-03-22,165.1,Pendiente
F434,C0434,2025-03-30,334.1,Pendiente
F435,C0435,2025-04-03,300.68,Cobrado
F436,C0436,2025-03-06,153.68,Pendiente
F437,C0437,2025-04-04,487.8,Cobrado
F438,C0438,2025-03-06,274.04,Pendiente
F439,C0439,2025-03-05,114.44,Cobrado
F440,C0440,2025-03-10,50.58,Cobrado
F441,C0441,2025-03-16,383.93,Cobrado
F442,C0442,2025-03-07,403.48,Pendiente
F443,C0443,2025-03-20,82.75,Cobrado
F444,C0444,2025-03-18,93.21,Pendiente
F445,C0445,2025-03-06,71.48,Cobrado
F446,C0446,2025-03-13,389.06,Pendiente
F447,C0447,2025-03-27,191.64,Pendiente
F448,C0448,2025-03-12,106.99,Pendiente
F449,C0449,2025-03-30,158.18,Pendiente
F450,C0450,2025-03-25,84.29,Pendiente
F451,C0451,2025-03-18,252.72,Cobrado
F452,C0452,2025-03-19,210.67,Pendiente
F453,C0453,2025-03-21,447.69,Cobrado
F454,C0454,2025-03-11,320.92,Pendiente
F455,C0455,2025-03-24,157.53,Cobrado
F456,C0456,2025-03-05,319.64,Cobrado
F457,C0457,2025-04-01,396.28,Pendiente
F458,C0458,2025-03-28,141.23,Pendiente
F459,C0459,2025-03-31,173.27,Cobrado
F460,C0460,2025-03-19,294.88,Pendiente
F461,C0461,2025-03-19,266.36,Cobrado
F462,C0462,2025-03-22,450.95,Cobrado
F463,C0463,2025-03-26,480.51,Pendiente
F464,C0464,2025-03-30,249.64,Pendiente
F465,C0465,2025-04-05,59.63,Pendiente
F466,C0466,2025-03-09,150.89,Pendiente
F467,C0467,2025-03-09,390.89,Pendiente
F468,C0468,2025-03-18,492.62,Cobrado
F469,C0469,2025-04-03,445.48,Cobrado
F470,C0470,2025-03-23,178.56,Pendiente
F471,C0471,2025-03-14,69.58,Pendiente
F472,C0472,2025-03-08,446.42,Pendiente
F473,C0473,2025-03-08,461.2,Cobrado
F474,C0474,2025-03-07,453.15,Pendiente
F475,C0475,2025-03-13,136.25,Cobrado
F476,C0476,2025-03-05,223.54,Cobrado
F477,C0477,2025-04-02,397.76,Pendiente
F478,C0478,2025-03-10,458.17,Pendiente
F479,C0479,2025-04-03,212.21,Cobrado
F480,C0480,2025-03-27,52.01,Cobrado
F481,C0481,2025-03-23,148.37,Pendiente
F482,C0482,2025-03-17,51.14,Cobrado
F483,C0483,2025-03-11,265.48,Pendiente
F484,C0484,2025-03-26,283.67,Pendiente
F485,C0485,2025-04-02,85.01,Cobrado
F486,C0486,2025-03-24,163.56,Pendiente
F487,C0487,2025-04-04,304.28,Cobrado
F488,C0488,2025-03-10,339.12,Cobrado
F489,C0489,2025-03-23,482.1,Cobrado
F490,C0490,2025-03-17,396.44,Cobrado
F491,C0491,2025-03-14,138.45,Cobrado
F492,C0492,2025-03-17,367.78,Pendiente
F493,C0493,2025-03-19,441.71,Pendiente
F494,C0494,2025-04-05,123.4,Pendiente
F495,C0495,2025-03-07,497.24,Cobrado
F496,C0496,2025-04-05,53.35,Pendiente
F497,C0497,2025-03-28,390.59,Cobrado
F498,C0498,2025-03-27,342.75,Pendiente
F499,C0499,2025-03-15,223.95,Pendiente
F500,C0500,2025-03-16,378.32,Pendiente
F501,C0501,2025-03-20,271.79,Cobrado
F502,C0502,2025-03-15,410.69,Cobrado
F503,C0503,2025-03-22,314.11,Pendiente
F504,C0504,2025-03-24,273.36,Pendiente
F505,C0505,2025-03-14,217.39,Pendiente
F506,C0506,2025-03-29,360.32,Pendiente
F507,C0507,2025-03-10,414.09,Pendiente
F508,C0508,2025-03-08,343.31,Cobrado
F509,C0509,2025-03-17,295.65,Cobrado
F510,C0510,2025-03-19,396.4,Cobrado
F511,C0511,2025-03-12,308.87,Pendiente
F512,C0512,2025-03-19,354.41,Pendiente
F513,C0513,2025-03-08,464.37,Cobrado
F514,C0514,2025-03-09,191.6,Pendiente
F515,C0515,2025-03-05,227.51,Cobrado
F516,C0516,2025-03-11,460.73,Cobrado
F517,C0517,2025-03-30,195.7,Pendiente
F518,C0518,2025-03-25,348.52,Cobrado
F519,C0519,2025-03-23,450.93,Pendiente
F520,C0520,2025-03-06,370.38,Pendiente
F521,C0521,2025-04-02,157.08,Pendiente
F522,C0522,2025-03-17,381.42,Cobrado
F523,C0523,2025-03-09,230.51,Cobrado
F524,C0524,2025-03-27,436.46,Pendiente
F525,C0525,2025-03-13,182.34,Cobrado
F526,C0526,2025-03-30,339.34,Cobrado
F527,C0527,2025-03-08,114.23,Pendiente
F528,C0528,2025-03-18,472.46,Cobrado
F529,C0529,2025-03-28,475.04,Cobrado
F530,C0530,2025-03-05,241.55,Cobrado
F531,C0531,2025-03-17,173.58,Pendiente
F532,C0532,2025-03-19,374.1,Cobrado
F533,C0533,2025-03-19,443.05,Cobrado
F534,C0534,2025-03-23,79.39,Cobrado
F535,C0535,2025-03-18,422.04,Cobrado
F536,C0536,2025-03-24,209.49,Pendiente
F537,C0537,2025-04-02,323.08,Pendiente
F538,C0538,2025-03-18,455.15,Pendiente
F539,C0539,2025-03-28,123.13,Cobrado
F540,C0540,2025-03-18,394.12,Cobrado
F541,C0541,2025-03-10,461.48,Pendiente
F542,C0542,2025-04-02,241.15,Cobrado
F543,C0543,2025-03-10,353.41,Cobrado
F544,C0544,2025-03-11,259.93,Pendiente
F545,C0545,2025-03-05,470.24,Pendiente
F546,C0546,2025-03-20,63.42,Cobrado
F547,C0547,2025-03-20,302.97,Pendiente
F548,C0548,2025-03-15,118.71,Cobrado
F549,C0549,2025-03-07,230.17,Pendiente
F550,C0550,2025-03-14,142.97,Cobrado
F551,C0551,2025-03-29,440.49,Pendiente
F552,C0552,2025-04-02,269.78,Cobrado
F553,C0553,2025-03-12,157.15,Pendiente
F554,C0554,2025-03-05,421.03,Pendiente
F555,C0555,2025-03-26,68.07,Cobrado
F556,C0556,2025-04-03,478.16,Pendiente
F557,C0557,2025-03-08,350.83,Pendiente
F558,C0558,2025-03-13,328.1,Cobrado
F559,C0559,2025-03-21,185.83,Cobrado
F560,C0560,2025-03-19,428.08,Cobrado
F561,C0561,2025-03-21,460.74,Cobrado
F562,C0562,2025-03-28,237.44,Pendiente
F563,C0563,2025-03-16,180.6,Cobrado
F564,C0564,2025-03-27,456.91,Pendiente
F565,C0565,2025-03-26,220.41,Pendiente
F566,C0566,2025-03-21,286.94,Cobrado
F567,C0567,2025-03-10,397.85,Pendiente
F568,C0568,2025-03-09,185.51,Pendiente
F569,C0569,2025-03-15,136.0,Cobrado
F570,C0570,2025-03-13,305.33,Pendiente
F571,C0571,2025-03-30,338.11,Cobrado
F572,C0572,2025-03-11,219.12,Pendiente
F573,C0573,2025-03-09,362.35,Pendiente
F574,C0574,2025-04-05,266.6,Pendiente
F575,C0575,2025-03-06,218.4,Pendiente
F576,C0576,2025-03-25,53.53,Cobrado
F577,C0577,2025-03-11,159.66,Pendiente
F578,C0578,2025-03-16,496.73,Cobrado
F579,C0579,2025-04-04,126.71,Pendiente
F580,C0580,2025-03-14,406.11,Pendiente
F581,C0581,2025-04-05,250.06,Cobrado
