cliente_id,nombre_cliente,fecha_atencion,servicio
C0072,Cliente 72,2025-03-28,Servicio B
C0073,Cliente 73,2025-03-05,Servicio B
C0074,Cliente 74,2025-03-26,Servicio C
C0075,Cliente 75,2025-03-08,Servicio A
C0076,Cliente 76,2025-03-02,Servicio B
C0077,Cliente 77,2025-04-01,Servicio C
C0078,Cliente 78,2025-03-26,Servicio C
C0079,Cliente 79,2025-03-17,Servicio B
C0080,Cliente 80,2025-03-18,Servicio C
C0081,Cliente 81,2025-03-14,Servicio C
C0082,Cliente 82,2025-03-10,Servicio C
C0083,Cliente 83,2025-03-12,Servicio B
C0084,Cliente 84,2025-03-31,Servicio A
C0085,Cliente 85,2025-03-03,Servicio A
C0086,Cliente 86,2025-03-27,Servicio C
C0087,Cliente 87,2025-04-01,Servicio C
C0088,Cliente 88,2025-03-29,Servicio C
C0089,Cliente 89,2025-03-08,Servicio A
C0090,Cliente 90,2025-03-26,Servicio A
C0091,Cliente 91,2025-03-16,Servicio B
C0092,Cliente 92,2025-03-16,Servicio A
C0093,Cliente 93,2025-03-21,Servicio C
C0094,Cliente 94,2025-03-22,Servicio B
C0095,Cliente 95,2025-03-11,Servicio C
C0096,Cliente 96,2025-03-24,Servicio B
C0097,Cliente 97,2025-03-26,Servicio B
C0098,Cliente 98,2025-03-09,Servicio B
C0099,Cliente 99,2025-03-22,Servicio B
C0100,Cliente 100,2025-03-20,Servicio B
C0101,Cliente 101,2025-03-31,Servicio B
C0102,Cliente 102,2025-03-12,Servicio A
C0103,Cliente 103,2025-03-14,Servicio C
C0104,Cliente 104,2025-03-03,Servicio A
C0105,Cliente 105,2025-03-15,Servicio B
C0106,Cliente 106,2025-03-23,Servicio B
C0107,Cliente 107,2025-03-08,Servicio B
C0108,Cliente 108,2025-03-26,Servicio A
C0109,Cliente 109,2025-03-13,Servicio C
C0110,Cliente 110,2025-03-23,Servicio B
C0111,Cliente 111,2025-03-26,Servicio A
C0112,Cliente 112,2025-03-19,Servicio B
C0113,Cliente 113,2025-03-26,Servicio A
C0114,Cliente 114,2025-03-31,Servicio A
C0115,Cliente 115,2025-03-12,Servicio A
C0116,Cliente 116,2025-03-02,Servicio B
C0117,Cliente 117,2025-03-28,Servicio B
C0118,Cliente 118,2025-03-03,Servicio B
C0119,Cliente 119,2025-03-10,Servicio C
C0120,Cliente 120,2025-03-09,Servicio A
C0121,Cliente 121,2025-03-10,Servicio A
C0122,Cliente 122,2025-03-23,Servicio B
C0123,Cliente 123,2025-03-02,Servicio C
C0124,Cliente 124,2025-04-01,Servicio A
C0125,Cliente 125,2025-03-24,Servicio B
C0126,Cliente 126,2025-03-29,Servicio B
C0127,Cliente 127,2025-03-01,Servicio C
C0128,Cliente 128,2025-03-07,Servicio C
C0129,Cliente 129,2025-03-04,Servicio B
C0130,Cliente 130,2025-03-18,Servicio B
C0131,Cliente 131,2025-03-13,Servicio A
C0132,Cliente 132,2025-03-14,Servicio B
C0133,Cliente 133,2025-03-05,Servicio A
C0134,Cliente 134,2025-03-07,Servicio C
C0135,Cliente 135,2025-03-02,Servicio A
C0136,Cliente 136,2025-03-19,Servicio B
C0137,Cliente 137,2025-03-18,Servicio B
C0138,Cliente 138,2025-03-04,Servicio C
C0139,Cliente 139,2025-03-23,Servicio C
C0140,Cliente 140,2025-04-01,Servicio A
C0141,Cliente 141,2025-03-24,Servicio A
C0142,Cliente 142,2025-03-09,Servicio C
C0143,Cliente 143,2025-03-17,Servicio C
C0144,Cliente 144,2025-03-12,Servicio B
C0145,Cliente 145,2025-03-19,Servicio A
C0146,Cliente 146,2025-03-23,Servicio B
C0147,Cliente 147,2025-03-01,Servicio B
C0148,Cliente 148,2025-03-26,Servicio B
C0149,Cliente 149,2025-03-07,Servicio A
C0150,Cliente 150,2025-03-14,Servicio A
C0151,Cliente 151,2025-03-03,Servicio B
C0152,Cliente 152,2025-03-18,Servicio B
C0153,Cliente 153,2025-03-30,Servicio A
C0154,Cliente 154,2025-03-28,Servicio C
C0155,Cliente 155,2025-03-02,Servicio A
C0156,Cliente 156,2025-03-09,Servicio C
C0157,Cliente 157,2025-03-22,Servicio B
C0158,Cliente 158,2025-03-01,Servicio C
C0159,Cliente 159,2025-03-24,Servicio B
C0160,Cliente 160,2025-03-23,Servicio A
C0161,Cliente 161,2025-03-02,Servicio B
C0162,Cliente 162,2025-03-03,Servicio B
C0163,Cliente 163,2025-03-29,Servicio B
C0164,Cliente 164,2025-03-20,Servicio C
C0165,Cliente 165,2025-03-13,Servicio A
C0166,Cliente 166,2025-03-07,Servicio C
C0167,Cliente 167,2025-03-09,Servicio B
C0168,Cliente 168,2025-03-27,Servicio C
C0169,Cliente 169,2025-03-21,Servicio B
C0170,Cliente 170,2025-03-16,Servicio C
C0171,Cliente 171,2025-03-27,Servicio B
C0172,Cliente 172,2025-03-23,Servicio A
C0173,Cliente 173,2025-03-25,Servicio A
C0174,Cliente 174,2025-04-01,Servicio A
C0175,Cliente 175,2025-03-09,Servicio B
C0176,Cliente 176,2025-03-10,Servicio C
C0177,Cliente 177,2025-03-06,Servicio B
C0178,Cliente 178,2025-03-24,Servicio A
C0179,Cliente 179,2025-03-20,Servicio C
C0180,Cliente 180,2025-03-15,Servicio A
C0181,Cliente 181,2025-03-31,Servicio A
C0182,Cliente 182,2025-03-10,Servicio B
C0183,Cliente 183,2025-03-23,Servicio B
C0184,Cliente 184,2025-03-08,Servicio A
C0185,Cliente 185,2025-03-22,Servicio A
C0186,Cliente 186,2025-03-08,Servicio C
C0187,Cliente 187,2025-03-05,Servicio B
C0188,Cliente 188,2025-03-11,Servicio A
C0189,Cliente 189,2025-03-31,Servicio A
C0190,Cliente 190,2025-03-07,Servicio A
C0191,Cliente 191,2025-03-01,Servicio C
C0192,Cliente 192,2025-03-11,Servicio C
C0193,Cliente 193,2025-03-17,Servicio C
C0194,Cliente 194,2025-03-04,Servicio A
C0195,Cliente 195,2025-03-26,Servicio A
C0196,Cliente 196,2025-03-22,Servicio C
C0197,Cliente 197,2025-03-08,Servicio B
C0198,Cliente 198,2025-03-31,Servicio C
C0199,Cliente 199,2025-03-06,Servicio C
C0200,Cliente 200,2025-03-22,Servicio A
C0201,Cliente 201,2025-03-03,Servicio B
C0202,Cliente 202,2025-03-16,Servicio B
C0203,Cliente 203,2025-03-28,Servicio C
C0204,Cliente 204,2025-03-15,Servicio B
C0205,Cliente 205,2025-03-29,Servicio C
C0206,Cliente 206,2025-03-09,Servicio B
C0207,Cliente 207,2025-03-21,Servicio A
C0208,Cliente 208,2025-04-01,Servicio A
C0209,Cliente 209,2025-03-13,Servicio A
C0210,Cliente 210,2025-03-20,Servicio C
C0211,Cliente 211,2025-03-18,Servicio A
C0212,Cliente 212,2025-03-13,Servicio C
C0213,Cliente 213,2025-03-03,Servicio C
C0214,Cliente 214,2025-04-01,Servicio C
C0215,Cliente 215,2025-03-15,Servicio C
C0216,Cliente 216,2025-03-14,Servicio A
C0217,Cliente 217,2025-03-17,Servicio C
C0218,Cliente 218,2025-03-05,Servicio B
C0219,Cliente 219,2025-03-02,Servicio C
C0220,Cliente 220,2025-03-23,Servicio A
C0221,Cliente 221,2025-03-13,Servicio B
C0222,Cliente 222,2025-03-21,Servicio A
C0223,Cliente 223,2025-03-23,Servicio A
C0224,Cliente 224,2025-03-22,Servicio B
C0225,Cliente 225,2025-03-07,Servicio C
C0226,Cliente 226,2025-03-03,Servicio A
C0227,Cliente 227,2025-03-12,Servicio C
C0228,Cliente 228,2025-03-30,Servicio B
C0229,Cliente 229,2025-03-20,Servicio A
C0230,Cliente 230,2025-03-06,Servicio B
C0231,Cliente 231,2025-03-18,Servicio B
C0232,Cliente 232,2025-03-16,Servicio B
C0233,Cliente 233,2025-03-12,Servicio A
C0234,Cliente 234,2025-03-17,Servicio C
C0235,Cliente 235,2025-03-17,Servicio A
C0236,Cliente 236,2025-04-01,Servicio A
C0237,Cliente 237,2025-03-07,Servicio B
C0238,Cliente 238,2025-03-27,Servicio B
C0239,Cliente 239,2025-03-14,Servicio B
C0240,Cliente 240,2025-03-21,Servicio C
C0241,Cliente 241,2025-03-05,Servicio B
C0242,Cliente 242,2025-03-25,Servicio B
C0243,Cliente 243,2025-03-17,Servicio A
C0244,Cliente 244,2025-03-26,Servicio A
C0245,Cliente 245,2025-03-13,Servicio B
C0246,Cliente 246,2025-03-17,Servicio C
C0247,Cliente 247,2025-03-16,Servicio B
C0248,Cliente 248,2025-03-24,Servicio C
C0249,Cliente 249,2025-03-16,Servicio B
C0250,Cliente 250,2025-03-31,Servicio C
C0251,Cliente 251,2025-03-08,Servicio A
C0252,Cliente 252,2025-03-30,Servicio B
C0253,Cliente 253,2025-03-10,Servicio C
C0254,Cliente 254,2025-03-07,Servicio A
C0255,Cliente 255,2025-03-20,Servicio A
C0256,Cliente 256,2025-03-20,Servicio C
C0257,Cliente 257,2025-03-31,Servicio A
C0258,Cliente 258,2025-03-09,Servicio C
C0259,Cliente 259,2025-03-31,Servicio C
C0260,Cliente 260,2025-03-04,Servicio C
C0261,Cliente 261,2025-03-27,Servicio C
C0262,Cliente 262,2025-03-08,Servicio B
C0263,Cliente 263,2025-03-11,Servicio A
C0264,Cliente 264,2025-03-02,Servicio B
C0265,Cliente 265,2025-03-16,Servicio A
C0266,Cliente 266,2025-03-26,Servicio C
C0267,Cliente 267,2025-03-05,Servicio B
C0268,Cliente 268,2025-03-21,Servicio A
C0269,Cliente 269,2025-03-24,Servicio C
C0270,Cliente 270,2025-03-21,Servicio C
C0271,Cliente 271,2025-04-01,Servicio A
C0272,Cliente 272,2025-03-05,Servicio B
C0273,Cliente 273,2025-03-21,Servicio A
C0274,Cliente 274,2025-03-15,Servicio A
C0275,Cliente 275,2025-03-15,Servicio C
C0276,Cliente 276,2025-03-15,Servicio C
C0277,Cliente 277,2025-03-23,Servicio C
C0278,Cliente 278,2025-03-03,Servicio B
C0279,Cliente 279,2025-03-16,Servicio B
C0280,Cliente 280,2025-03-07,Servicio C
C0281,Cliente 281,2025-03-15,Servicio C
C0282,Cliente 282,2025-03-06,Servicio A
C0283,Cliente 283,2025-03-10,Servicio A
C0284,Cliente 284,2025-03-08,Servicio B
C0285,Cliente 285,2025-03-03,Servicio C
C0286,Cliente 286,2025-03-13,Servicio C
C0287,Cliente 287,2025-03-31,Servicio B
C0288,Cliente 288,2025-03-07,Servicio B
C0289,Cliente 289,2025-03-31,Servicio B
C0290,Cliente 290,2025-03-02,Servicio A
C0291,Cliente 291,2025-03-13,Servicio A
C0292,Cliente 292,2025-03-25,Servicio B
C0293,Cliente 293,2025-03-05,Servicio C
C0294,Cliente 294,2025-03-27,Servicio A
C0295,Cliente 295,2025-03-22,Servicio A
C0296,Cliente 296,2025-03-31,Servicio C
C0297,Cliente 297,2025-03-12,Servicio B
C0298,Cliente 298,2025-03-29,Servicio C
C0299,Cliente 299,2025-03-03,Servicio B
C0300,Cliente 300,2025-03-26,Servicio A
C0301,Cliente 301,2025-03-14,Servicio C
C0302,Cliente 302,2025-03-29,Servicio A
C0303,Cliente 303,2025-03-21,Servicio A
C0304,Cliente 304,2025-03-09,Servicio A
C0305,Cliente 305,2025-03-20,Servicio A
C0306,Cliente 306,2025-03-25,Servicio B
C0307,Cliente 307,2025-03-24,Servicio B
C0308,Cliente 308,2025-03-27,Servicio B
C0309,Cliente 309,2025-03-27,Servicio A
C0310,Cliente 310,2025-03-19,Servicio C
C0311,Cliente 311,2025-03-08,Servicio C
C0312,Cliente 312,2025-03-11,Servicio B
C0313,Cliente 313,2025-03-04,Servicio B
C0314,Cliente 314,2025-03-16,Servicio C
C0315,Cliente 315,2025-03-04,Servicio A
C0316,Cliente 316,2025-03-31,Servicio B
C0317,Cliente 317,2025-03-17,Servicio B
C0318,Cliente 318,2025-03-01,Servicio C
C0319,Cliente 319,2025-03-25,Servicio C
C0320,Cliente 320,2025-03-07,Servicio B
C0321,Cliente 321,2025-03-09,Servicio C
C0322,Cliente 322,2025-03-11,Servicio C
C0323,Cliente 323,2025-04-01,Servicio A
C0324,Cliente 324,2025-03-02,Servicio C
C0325,Cliente 325,2025-03-26,Servicio C
C0326,Cliente 326,2025-03-14,Servicio B
C0327,Cliente 327,2025-03-18,Servicio C
C0328,Cliente 328,2025-03-16,Servicio B
C0329,Cliente 329,2025-03-28,Servicio A
C0330,Cliente 330,2025-03-03,Servicio C
C0331,Cliente 331,2025-03-27,Servicio B
C0332,Cliente 332,2025-03-27,Servicio B
C0333,Cliente 333,2025-03-23,Servicio A
C0334,Cliente 334,2025-03-03,Servicio A
C0335,Cliente 335,2025-03-18,Servicio A
C0336,Cliente 336,2025-03-02,Servicio A
C0337,Cliente 337,2025-03-13,Servicio B
C0338,Cliente 338,2025-03-23,Servicio B
C0339,Cliente 339,2025-03-10,Servicio A
C0340,Cliente 340,2025-03-01,Servicio C
C0341,Cliente 341,2025-03-17,Servicio C
C0342,Cliente 342,2025-03-05,Servicio C
C0343,Cliente 343,2025-03-19,Servicio B
C0344,Cliente 344,2025-03-09,Servicio C
C0345,Cliente 345,2025-03-25,Servicio C
C0346,Cliente 346,2025-03-19,Servicio A
C0347,Cliente 347,2025-03-12,Servicio A
C0348,Cliente 348,2025-03-29,Servicio B
C0349,Cliente 349,2025-03-19,Servicio A
C0350,Cliente 350,2025-03-25,Servicio A
C0351,Cliente 351,2025-03-17,Servicio C
C0352,Cliente 352,2025-03-07,Servicio B
C0353,Cliente 353,2025-03-31,Servicio B
C0354,Cliente 354,2025-03-11,Servicio C
C0355,Cliente 355,2025-03-05,Servicio B
C0356,Cliente 356,2025-03-15,Servicio B
C0357,Cliente 357,2025-03-17,Servicio B
C0358,Cliente 358,2025-03-13,Servicio B
C0359,Cliente 359,2025-03-07,Servicio A
C0360,Cliente 360,2025-03-18,Servicio A
C0361,Cliente 361,2025-03-29,Servicio A
C0362,Cliente 362,2025-03-23,Servicio C
C0363,Cliente 363,2025-03-20,Servicio A
C0364,Cliente 364,2025-03-19,Servicio A
C0365,Cliente 365,2025-03-10,Servicio A
C0366,Cliente 366,2025-03-08,Servicio C
C0367,Cliente 367,2025-03-19,Servicio B
C0368,Cliente 368,2025-03-20,Servicio B
C0369,Cliente 369,2025-03-27,Servicio A
C0370,Cliente 370,2025-03-02,Servicio B
C0371,Cliente 371,2025-03-30,Servicio C
C0372,Cliente 372,2025-03-13,Servicio C
C0373,Cliente 373,2025-03-05,Servicio B
C0374,Cliente 374,2025-03-05,Servicio A
C0375,Cliente 375,2025-03-10,Servicio C
C0376,Cliente 376,2025-03-29,Servicio B
C0377,Cliente 377,2025-03-30,Servicio B
C0378,Cliente 378,2025-03-26,Servicio C
C0379,Cliente 379,2025-03-03,Servicio B
C0380,Cliente 380,2025-03-20,Servicio B
C0381,Cliente 381,2025-03-21,Servicio B
C0382,Cliente 382,2025-03-24,Servicio C
C0383,Cliente 383,2025-03-14,Servicio B
C0384,Cliente 384,2025-03-30,Servicio B
C0385,Cliente 385,2025-03-17,Servicio A
C0386,Cliente 386,2025-03-04,Servicio A
C0387,Cliente 387,2025-03-16,Servicio A
C0388,Cliente 388,2025-03-21,Servicio A
C0389,Cliente 389,2025-03-03,Servicio C
C0390,Cliente 390,2025-03-06,Servicio A
C0391,Cliente 391,2025-03-31,Servicio C
C0392,Cliente 392,2025-03-05,Servicio C
C0393,Cliente 393,2025-04-01,Servicio B
C0394,Cliente 394,2025-03-15,Servicio A
C0395,Cliente 395,2025-03-24,Servicio A
C0396,Cliente 396,2025-03-04,Servicio A
C0397,Cliente 397,2025-03-29,Servicio A
C0398,Cliente 398,2025-03-12,Servicio B
C0399,Cliente 399,2025-03-24,Servicio B
C0400,Cliente 400,2025-04-01,Servicio A
C0401,Cliente 401,2025-03-20,Servicio B
C0402,Cliente 402,2025-03-17,Servicio C
C0403,Cliente 403,2025-03-04,Servicio A
C0404,Cliente 404,2025-03-14,Servicio A
C0405,Cliente 405,2025-03-27,Servicio C
C0406,Cliente 406,2025-03-29,Servicio B
C0407,Cliente 407,2025-03-21,Servicio B
C0408,Cliente 408,2025-03-24,Servicio A
C0409,Cliente 409,2025-03-10,Servicio B
C0410,Cliente 410,2025-03-23,Servicio A
C0411,Cliente 411,2025-03-18,Servicio C
C0412,Cliente 412,2025-03-26,Servicio C
C0413,Cliente 413,2025-03-27,Servicio B
C0414,Cliente 414,2025-03-31,Servicio C
C0415,Cliente 415,2025-03-20,Servicio C
C0416,Cliente 416,2025-03-15,Servicio B
C0417,Cliente 417,2025-03-10,Servicio A
C0418,Cliente 418,2025-03-24,Servicio C
C0419,Cliente 419,2025-03-01,Servicio B
C0420,Cliente 420,2025-03-14,Servicio A
C0421,Cliente 421,2025-03-13,Servicio A
C0422,Cliente 422,2025-03-09,Servicio B
C0423,Cliente 423,2025-03-15,Servicio C
C0424,Cliente 424,2025-03-01,Servicio C
C0425,Cliente 425,2025-03-31,Servicio B
C0426,Cliente 426,2025-03-31,Servicio A
C0427,Cliente 427,2025-03-07,Servicio A
C0428,Cliente 428,2025-03-27,Servicio C
C0429,Cliente 429,2025-03-27,Servicio B
C0430,Cliente 430,2025-03-12,Servicio B
C0431,Cliente 431,2025-03-16,Servicio A
C0432,Cliente 432,2025-03-25,Servicio A
C0433,Cliente 433,2025-03-30,Servicio C
C0434,Cliente 434,2025-03-24,Servicio C
C0435,Cliente 435,2025-03-27,Servicio B
C0436,Cliente 436,2025-03-21,Servicio C
C0437,Cliente 437,2025-03-23,Servicio A
C0438,Cliente 438,2025-03-11,Servicio C
C0439,Cliente 439,2025-03-09,Servicio A
C0440,Cliente 440,2025-03-04,Servicio A
C0441,Cliente 441,2025-03-18,Servicio B
C0442,Cliente 442,2025-03-14,Servicio C
C0443,Cliente 443,2025-03-19,Servicio A
C0444,Cliente 444,2025-03-09,Servicio A
C0445,Cliente 445,2025-03-31,Servicio B
C0446,Cliente 446,2025-03-16,Servicio B
C0447,Cliente 447,2025-03-23,Servicio C
C0448,Cliente 448,2025-03-15,Servicio B
C0449,Cliente 449,2025-03-16,Servicio B
C0450,Cliente 450,2025-03-01,Servicio B
C0451,Cliente 451,2025-03-27,Servicio A
C0452,Cliente 452,2025-03-31,Servicio C
C0453,Cliente 453,2025-03-03,Servicio A
C0454,Cliente 454,2025-03-10,Servicio B
C0455,Cliente 455,2025-03-19,Servicio B
C0456,Cliente 456,2025-03-27,Servicio A
C0457,Cliente 457,2025-03-09,Servicio C
C0458,Cliente 458,2025-03-23,Servicio A
C0459,Cliente 459,2025-03-13,Servicio B
C0460,Cliente 460,2025-03-16,Servicio C
C0461,Cliente 461,2025-03-23,Servicio B
C0462,Cliente 462,2025-03-05,Servicio B
C0463,Cliente 463,2025-03-31,Servicio C
C0464,Cliente 464,2025-03-05,Servicio A
C0465,Cliente 465,2025-04-01,Servicio A
C0466,Cliente 466,2025-03-27,Servicio C
C0467,Cliente 467,2025-03-24,Servicio A
C0468,Cliente 468,2025-03-13,Servicio A
C0469,Cliente 469,2025-03-11,Servicio A
C0470,Cliente 470,2025-03-30,Servicio C
C0471,Cliente 471,2025-03-09,Servicio C
C0472,Cliente 472,2025-03-11,Servicio B
C0473,Cliente 473,2025-03-03,Servicio C
C0474,Cliente 474,2025-03-27,Servicio B
C0475,Cliente 475,2025-03-04,Servicio A
C0476,Cliente 476,2025-03-15,Servicio A
C0477,Cliente 477,2025-03-18,Servicio B
C0478,Cliente 478,2025-03-06,Servicio B
C0479,Cliente 479,2025-03-01,Servicio A
C0480,Cliente 480,2025-03-17,Servicio B
C0481,Cliente 481,2025-03-01,Servicio B
C0482,Cliente 482,2025-03-12,Servicio C
C0483,Cliente 483,2025-03-20,Servicio B
C0484,Cliente 484,2025-03-26,Servicio C
C0485,Cliente 485,2025-03-02,Servicio A
C0486,Cliente 486,2025-03-02,Servicio C
C0487,Cliente 487,2025-03-31,Servicio B
C0488,Cliente 488,2025-03-30,Servicio B
C0489,Cliente 489,2025-03-03,Servicio A
C0490,Cliente 490,2025-03-10,Servicio C
C0491,Cliente 491,2025-03-10,Servicio A
C0492,Cliente 492,2025-03-16,Servicio A
C0493,Cliente 493,2025-04-01,Servicio A
C0494,Cliente 494,2025-03-15,Servicio A
C0495,Cliente 495,2025-03-17,Servicio C
C0496,Cliente 496,2025-04-01,Servicio A
C0497,Cliente 497,2025-03-24,Servicio B
C0498,Cliente 498,2025-03-31,Servicio A
C0499,Cliente 499,2025-03-15,Servicio B
C0500,Cliente 500,2025-03-03,Servicio A
C0501,Cliente 501,2025-03-31,Servicio A
C0502,Cliente 502,2025-03-11,Servicio A
C0503,Cliente 503,2025-03-08,Servicio A
C0504,Cliente 504,2025-03-22,Servicio B
C0505,Cliente 505,2025-03-16,Servicio B
C0506,Cliente 506,2025-03-27,Servicio C
C0507,Cliente 507,2025-03-11,Servicio B
C0508,Cliente 508,2025-03-24,Servicio A
C0509,Cliente 509,2025-03-24,Servicio C
C0510,Cliente 510,2025-03-12,Servicio C
C0511,Cliente 511,2025-03-23,Servicio C
C0512,Cliente 512,2025-03-13,Servicio B
C0513,Cliente 513,2025-03-21,Servicio C
C0514,Cliente 514,2025-03-26,Servicio C
C0515,Cliente 515,2025-03-28,Servicio C
C0516,Cliente 516,2025-03-05,Servicio C
C0517,Cliente 517,2025-03-29,Servicio C
C0518,Cliente 518,2025-03-10,Servicio B
C0519,Cliente 519,2025-03-28,Servicio B
C0520,Cliente 520,2025-03-01,Servicio B
C0521,Cliente 521,2025-03-13,Servicio C
C0522,Cliente 522,2025-03-13,Servicio B
C0523,Cliente 523,2025-03-27,Servicio C
C0524,Cliente 524,2025-03-31,Servicio C
C0525,Cliente 525,2025-03-25,Servicio C
C0526,Cliente 526,2025-03-21,Servicio B
C0527,Cliente 527,2025-03-08,Servicio A
C0528,Cliente 528,2025-03-27,Servicio B
C0529,Cliente 529,2025-03-18,Servicio A
C0530,Cliente 530,2025-03-12,Servicio B
C0531,Cliente 531,2025-03-11,Servicio C
C0532,Cliente 532,2025-03-26,Servicio A
C0533,Cliente 533,2025-03-17,Servicio C
C0534,Cliente 534,2025-03-25,Servicio A
C0535,Cliente 535,2025-03-06,Servicio B
C0536,Cliente 536,2025-03-07,Servicio C
C0537,Cliente 537,2025-03-24,Servicio C
C0538,Cliente 538,2025-03-27,Servicio B
C0539,Cliente 539,2025-03-01,Servicio C
C0540,Cliente 540,2025-03-03,Servicio C
C0541,Cliente 541,2025-03-12,Servicio B
C0542,Cliente 542,2025-03-08,Servicio B
C0543,Cliente 543,2025-03-09,Servicio B
C0544,Cliente 544,2025-03-30,Servicio C
C0545,Cliente 545,2025-03-06,Servicio A
C0546,Cliente 546,2025-03-12,Servicio B
C0547,Cliente 547,2025-03-31,Servicio B
C0548,Cliente 548,2025-03-02,Servicio B
C0549,Cliente 549,2025-03-02,Servicio A
C0550,Cliente 550,2025-03-02,Servicio B
C0551,Cliente 551,2025-03-06,Servicio C
C0552,Cliente 552,2025-03-19,Servicio B
C0553,Cliente 553,2025-03-03,Servicio B
C0554,Cliente 554,2025-03-29,Servicio A
C0555,Cliente 555,2025-03-12,Servicio A
C0556,Cliente 556,2025-03-09,Servicio B
C0557,Cliente 557,2025-03-10,Servicio A
C0558,Cliente 558,2025-03-02,Servicio B
C0559,Cliente 559,2025-03-28,Servicio B
C0560,Cliente 560,2025-03-15,Servicio A
C0561,Cliente 561,2025-03-03,Servicio A
C0562,Cliente 562,2025-03-27,Servicio A
C0563,Cliente 563,2025-03-16,Servicio B
C0564,Cliente 564,2025-03-23,Servicio B
C0565,Cliente 565,2025-04-01,Servicio C
C0566,Cliente 566,2025-03-16,Servicio C
C0567,Cliente 567,2025-03-03,Servicio B
C0568,Cliente 568,2025-03-21,Servicio C
C0569,Cliente 569,2025-03-09,Servicio B
C0570,Cliente 570,2025-03-04,Servicio A
C0571,Cliente 571,2025-03-04,Servicio C
C0572,Cliente 572,2025-03-15,Servicio B
C0573,Cliente 573,2025-03-21,Servicio C
C0574,Cliente 574,2025-03-03,Servicio A
C0575,Cliente 575,2025-03-09,Servicio A
C0576,Cliente 576,2025-03-12,Servicio B
C0577,Cliente 577,2025-03-18,Servicio A
C0578,Cliente 578,2025-03-16,Servicio A
C0579,Cliente 579,2025-03-12,Servicio B
C0580,Cliente 580,2025-03-11,Servicio B
C0581,Cliente 581,2025-03-13,Servicio C
