,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1333231,2008,3,11,2,1640.0,1645,1802.0,1816,OH,5053,N691CA,142.0,151.0,116.0,-14.0,-5.0,ATL,AUS,813,6.0,20.0,0,,0,,,,,
2161524,2008,4,25,5,713.0,718,747.0,755,HA,123,N479HA,34.0,37.0,22.0,-8.0,-5.0,HNL,LIH,102,4.0,8.0,0,,0,,,,,
1581851,2008,3,6,4,600.0,605,643.0,700,MQ,3942,N661JA,43.0,55.0,30.0,-17.0,-5.0,BMI,ORD,116,3.0,10.0,0,,0,,,,,
2910143,2008,5,30,5,1442.0,1445,1802.0,1805,AA,1914,N4YCAA,140.0,140.0,115.0,-3.0,-3.0,DFW,JAX,919,5.0,20.0,0,,0,,,,,
2842969,2008,5,1,4,825.0,825,1035.0,1002,OH,5139,N972CA,130.0,97.0,60.0,33.0,0.0,LGA,RIC,292,5.0,65.0,0,,0,0.0,0.0,33.0,0.0,0.0
3125379,2008,6,1,7,1209.0,1210,1352.0,1354,YV,7337,N571ML,103.0,104.0,73.0,-2.0,-1.0,IAD,CHS,441,4.0,26.0,0,,0,,,,,
3947226,2008,7,24,4,2056.0,1920,2107.0,1939,EV,4549,N843AS,71.0,79.0,53.0,88.0,96.0,ATL,JAN,341,3.0,15.0,0,,0,88.0,0.0,0.0,0.0,0.0
3323525,2008,6,1,7,1322.0,1250,1539.0,1503,EV,4432,N759EV,137.0,133.0,117.0,36.0,32.0,SYR,ATL,793,6.0,14.0,0,,0,0.0,0.0,4.0,0.0,32.0
5098347,2008,9,22,1,1226.0,1205,2019.0,1959,US,213,N801AW,293.0,294.0,275.0,20.0,21.0,PHX,BOS,2300,7.0,11.0,0,,0,0.0,0.0,0.0,0.0,20.0
5946784,2008,11,4,2,1431.0,1435,1629.0,1640,WN,2804,N649SW,118.0,125.0,105.0,-11.0,-4.0,TPA,SDF,727,5.0,8.0,0,,0,,,,,
6392869,2008,11,5,3,819.0,825,1233.0,1235,AA,1916,N3AXAA,194.0,190.0,180.0,-2.0,-6.0,DFW,BDL,1471,3.0,11.0,0,,0,,,,,
600570,2008,1,11,5,1230.0,1230,1425.0,1426,DL,561,N994DL,115.0,116.0,86.0,-1.0,0.0,IAD,ATL,533,9.0,20.0,0,,0,,,,,
4749198,2008,8,13,3,801.0,800,1136.0,1155,AA,1635,N084AA,215.0,235.0,189.0,-19.0,1.0,JFK,SJU,1597,8.0,18.0,0,,0,,,,,
288068,2008,1,26,6,1949.0,1955,2140.0,2208,US,956,N460UW,111.0,133.0,93.0,-28.0,-6.0,CLT,BOS,728,8.0,10.0,0,,0,,,,,
4878089,2008,9,13,6,1143.0,1140,1255.0,1255,WN,2822,N752SW,72.0,75.0,58.0,0.0,3.0,BUR,SMF,358,4.0,10.0,0,,0,,,,,
1567560,2008,3,17,1,,920,,1020,MQ,3309,,,60.0,,,,DFW,LAW,140,,,1,B,0,,,,,
6153735,2008,11,30,7,1649.0,1503,1754.0,1629,UA,1185,N464UA,125.0,146.0,107.0,85.0,106.0,DEN,SAN,853,2.0,16.0,0,,0,0.0,0.0,0.0,0.0,85.0
4169893,2008,7,11,5,718.0,725,1529.0,1558,B6,94,N639JB,311.0,333.0,290.0,-29.0,-7.0,OAK,JFK,2576,8.0,13.0,0,,0,,,,,
5963466,2008,11,10,1,1928.0,1900,2033.0,2000,WN,51,N602SW,65.0,60.0,53.0,33.0,28.0,DAL,HOU,239,6.0,6.0,0,,0,0.0,0.0,5.0,0.0,28.0
5430718,2008,10,17,5,1940.0,1930,2032.0,2030,WN,53,N519SW,52.0,60.0,42.0,2.0,10.0,DAL,HOU,239,2.0,8.0,0,,0,,,,,
5977702,2008,11,14,5,1231.0,1230,1328.0,1325,WN,26,N504SW,57.0,55.0,42.0,3.0,1.0,HOU,DAL,239,2.0,13.0,0,,0,,,,,
3237129,2008,6,16,1,829.0,820,859.0,857,UA,697,N849UA,90.0,97.0,74.0,2.0,9.0,PIT,ORD,412,4.0,12.0,0,,0,,,,,
2677039,2008,5,26,1,806.0,815,949.0,1015,US,1247,N170US,103.0,120.0,78.0,-26.0,-9.0,LGA,CLT,544,6.0,19.0,0,,0,,,,,
159410,2008,1,15,2,1720.0,1730,1830.0,1838,OH,5604,N819CA,70.0,68.0,42.0,-8.0,-10.0,GRR,CVG,268,2.0,26.0,0,,0,,,,,
6062324,2008,11,15,6,1859.0,1859,2215.0,2203,YV,7138,N502MJ,136.0,124.0,102.0,12.0,0.0,ORD,SAV,773,4.0,30.0,0,,0,,,,,
3984023,2008,7,19,6,1454.0,1443,1825.0,1813,FL,871,N307AT,151.0,150.0,126.0,12.0,11.0,MSP,ATL,906,8.0,17.0,0,,0,,,,,
2461380,2008,5,25,7,1128.0,1125,1242.0,1230,WN,1100,N382SW,194.0,185.0,176.0,12.0,3.0,AUS,LAX,1242,9.0,9.0,0,,0,,,,,
5692711,2008,10,3,5,1205.0,1215,1325.0,1318,EV,5340,N641AS,80.0,63.0,47.0,7.0,-10.0,ATL,AVL,164,6.0,27.0,0,,0,,,,,
3317918,2008,6,12,4,1630.0,1637,1735.0,1742,EV,4261,N682BR,65.0,65.0,46.0,-7.0,-7.0,BQK,ATL,238,8.0,11.0,0,,0,,,,,
5956395,2008,11,7,5,1211.0,1210,1229.0,1240,WN,1726,N227WN,78.0,90.0,65.0,-11.0,1.0,PIT,MDW,402,3.0,10.0,0,,0,,,,,
4516464,2008,8,18,1,1005.0,1015,1220.0,1230,US,1456,N708UW,135.0,135.0,108.0,-10.0,-10.0,DCA,MCO,759,5.0,22.0,0,,0,,,,,
6410081,2008,11,28,5,1020.0,1025,1150.0,1209,AS,362,N708AS,90.0,104.0,75.0,-19.0,-5.0,SEA,SMF,605,2.0,13.0,0,,0,,,,,
4100074,2008,7,15,2,552.0,600,713.0,720,AA,301,N445AA,141.0,140.0,112.0,-7.0,-8.0,LGA,ORD,733,18.0,11.0,0,,0,,,,,
2557141,2008,5,1,4,729.0,731,819.0,823,OO,5406,N220SW,50.0,52.0,33.0,-4.0,-2.0,LAX,SAN,109,3.0,14.0,0,,0,,,,,
4215322,2008,7,6,7,907.0,725,1148.0,1023,DL,1122,N721TW,101.0,118.0,76.0,85.0,102.0,LAX,SLC,590,4.0,21.0,0,,0,85.0,0.0,0.0,0.0,0.0
3342353,2008,6,13,5,817.0,820,949.0,954,F9,530,N903FR,152.0,154.0,134.0,-5.0,-3.0,MDW,DEN,895,8.0,10.0,0,,0,,,,,
4787750,2008,8,15,5,802.0,805,1044.0,1037,B6,301,N639JB,162.0,152.0,132.0,7.0,-3.0,IAD,FLL,901,4.0,26.0,0,,0,,,,,
3368256,2008,6,27,5,1110.0,1112,1231.0,1229,FL,791,N944AT,141.0,137.0,117.0,2.0,-2.0,MCO,STL,880,5.0,19.0,0,,0,,,,,
408334,2008,1,5,6,942.0,915,1043.0,1029,MQ,4227,N645AE,61.0,74.0,48.0,14.0,27.0,DSM,ORD,299,8.0,5.0,0,,0,,,,,
952526,2008,2,21,4,804.0,810,934.0,951,FL,992,N947AT,90.0,101.0,71.0,-17.0,-6.0,ATL,PIT,526,6.0,13.0,0,,0,,,,,
4266894,2008,8,13,3,1644.0,1640,1730.0,1730,WN,616,N356SW,46.0,50.0,34.0,0.0,4.0,AUS,HOU,148,4.0,8.0,0,,0,,,,,
3660997,2008,7,20,7,2258.0,1800,17.0,1925,WN,2538,N208WN,139.0,145.0,121.0,292.0,298.0,BDL,MDW,777,4.0,14.0,0,,0,0.0,0.0,201.0,0.0,91.0
6123572,2008,11,13,4,1007.0,1012,1441.0,1451,OO,6536,N709SK,154.0,159.0,127.0,-10.0,-5.0,DEN,CVG,1069,5.0,22.0,0,,0,,,,,
2921963,2008,5,7,3,2302.0,2305,726.0,745,AS,10,N569AS,324.0,340.0,304.0,-19.0,-3.0,SEA,MCO,2553,6.0,14.0,0,,0,,,,,
3341048,2008,6,8,7,1521.0,1505,1950.0,1930,F9,608,N934FR,149.0,145.0,115.0,20.0,16.0,DEN,IND,977,21.0,13.0,0,,0,10.0,0.0,6.0,0.0,4.0
4496197,2008,8,2,6,1453.0,1450,1648.0,1659,US,1176,N456UW,115.0,129.0,100.0,-11.0,3.0,MIA,CLT,650,5.0,10.0,0,,0,,,,,
2212464,2008,4,14,1,1709.0,1715,44.0,29,NW,326,N368NW,275.0,254.0,251.0,15.0,-6.0,LAX,DTW,1979,9.0,15.0,0,,0,0.0,0.0,15.0,0.0,0.0
5520143,2008,10,26,7,1651.0,1652,1808.0,1807,YV,7145,N77181,77.0,75.0,46.0,1.0,-1.0,IAD,ROC,289,7.0,24.0,0,,0,,,,,
3662046,2008,7,20,7,1358.0,1400,1959.0,1940,WN,2721,N772SW,241.0,220.0,190.0,19.0,-2.0,LAS,MDW,1521,5.0,46.0,0,,0,0.0,0.0,19.0,0.0,0.0
4373052,2008,8,14,4,937.0,942,1035.0,1045,YV,7080,N446YV,58.0,63.0,41.0,-10.0,-5.0,GUC,DEN,152,11.0,6.0,0,,0,,,,,
4654871,2008,8,18,1,1142.0,1140,1344.0,1355,MQ,4448,N850AE,62.0,75.0,48.0,-11.0,2.0,ORD,LEX,323,2.0,12.0,0,,0,,,,,
543707,2008,1,25,5,706.0,710,810.0,817,AS,60,N771AS,64.0,67.0,37.0,-7.0,-4.0,JNU,KTN,234,5.0,22.0,0,,0,,,,,
2568606,2008,5,8,4,905.0,906,1201.0,1209,OO,5824,N701SK,116.0,123.0,93.0,-8.0,-1.0,ORD,BTV,763,3.0,20.0,0,,0,,,,,
1327501,2008,3,29,6,735.0,708,830.0,754,YV,2819,N916FJ,55.0,46.0,23.0,36.0,27.0,PHX,TUS,110,10.0,22.0,0,,0,36.0,0.0,0.0,0.0,0.0
3102285,2008,6,16,1,1624.0,1630,1808.0,1805,XE,2655,N13929,104.0,95.0,77.0,3.0,-6.0,TUL,IAH,429,15.0,12.0,0,,0,,,,,
2540556,2008,5,2,5,1800.0,1800,1847.0,1845,OH,5514,N518CA,47.0,45.0,30.0,2.0,0.0,LEX,CVG,70,1.0,16.0,0,,0,,,,,
3676055,2008,7,24,4,903.0,905,1007.0,1020,WN,3511,N508SW,64.0,75.0,52.0,-13.0,-2.0,LAX,SFO,337,3.0,9.0,0,,0,,,,,
6053913,2008,11,2,7,1835.0,1852,2009.0,2028,YV,7177,N446YV,94.0,96.0,77.0,-19.0,-17.0,RAP,DEN,301,8.0,9.0,0,,0,,,,,
921765,2008,2,7,4,1052.0,1059,1402.0,1408,EV,4564,N683BR,130.0,129.0,111.0,-6.0,-7.0,OMA,ATL,821,8.0,11.0,0,,0,,,,,
6318264,2008,11,15,6,624.0,630,719.0,726,NW,304,N318US,55.0,56.0,33.0,-7.0,-6.0,GRR,DTW,120,12.0,10.0,0,,0,,,,,
1030840,2008,2,10,7,2012.0,1922,2132.0,2043,NW,1695,N776NC,80.0,81.0,48.0,49.0,50.0,DTW,IND,231,14.0,18.0,0,,0,18.0,0.0,0.0,0.0,31.0
1122801,2008,2,10,7,1058.0,1100,1849.0,1846,B6,304,N535JB,291.0,286.0,264.0,3.0,-2.0,LGB,IAD,2277,16.0,11.0,0,,0,,,,,
4305315,2008,8,24,7,657.0,700,737.0,755,WN,1286,N685SW,160.0,175.0,150.0,-18.0,-3.0,OMA,LAS,1099,3.0,7.0,0,,0,,,,,
6890244,2008,12,27,6,1136.0,1142,1302.0,1250,9E,2877,89039E,86.0,68.0,44.0,12.0,-6.0,DAY,DTW,166,13.0,29.0,0,,0,,,,,
4807847,2008,8,30,6,704.0,655,929.0,853,CO,1535,N29717,325.0,298.0,269.0,36.0,9.0,EWR,PHX,2133,7.0,49.0,0,,0,9.0,0.0,27.0,0.0,0.0
4309868,2008,8,25,1,1031.0,1030,1108.0,1125,WN,2385,N738CB,157.0,175.0,145.0,-17.0,1.0,TUL,LAS,1076,5.0,7.0,0,,0,,,,,
6662567,2008,12,18,4,1727.0,1654,2050.0,2020,UA,63,N572UA,143.0,146.0,98.0,30.0,33.0,DEN,ORD,888,6.0,39.0,0,,0,0.0,6.0,0.0,0.0,24.0
656929,2008,2,18,1,2117.0,2115,2243.0,2240,WN,3758,N323SW,86.0,85.0,75.0,3.0,2.0,MSY,DAL,437,7.0,4.0,0,,0,,,,,
3348206,2008,6,1,7,1148.0,1153,1401.0,1409,FL,689,N938AT,133.0,136.0,118.0,-8.0,-5.0,SRQ,BWI,880,7.0,8.0,0,,0,,,,,
4835801,2008,8,10,7,1556.0,1600,1738.0,1757,DL,734,N930DL,102.0,117.0,80.0,-19.0,-4.0,ATL,BWI,576,6.0,16.0,0,,0,,,,,
3622358,2008,7,8,2,1711.0,1525,1959.0,1810,WN,1979,N415WN,168.0,165.0,134.0,109.0,106.0,MDW,HOU,937,6.0,28.0,0,,0,0.0,0.0,3.0,0.0,106.0
3113701,2008,6,5,4,1039.0,1045,1210.0,1219,XE,2203,N14939,91.0,94.0,73.0,-9.0,-6.0,TUL,IAH,429,8.0,10.0,0,,0,,,,,
6972058,2008,12,30,2,710.0,700,948.0,918,CO,270,N17356,218.0,198.0,183.0,30.0,10.0,EWR,MSP,1008,6.0,29.0,0,,0,10.0,0.0,20.0,0.0,0.0
3305567,2008,6,24,2,720.0,725,856.0,856,DL,935,N690DL,276.0,271.0,247.0,0.0,-5.0,ATL,LAX,1946,14.0,15.0,0,,0,,,,,
5805857,2008,10,27,1,730.0,730,1119.0,1059,9E,2899,85609E,169.0,149.0,115.0,20.0,0.0,MSN,LGA,812,17.0,37.0,0,,0,0.0,0.0,20.0,0.0,0.0
316092,2008,1,26,6,1100.0,1106,1239.0,1231,DL,781,N6709,219.0,205.0,194.0,8.0,-6.0,ATL,DEN,1199,5.0,20.0,0,,0,,,,,
397967,2008,1,26,6,721.0,610,805.0,655,MQ,3836,N517AE,44.0,45.0,35.0,70.0,71.0,GRK,DFW,134,6.0,3.0,0,,0,0.0,70.0,0.0,0.0,0.0
977118,2008,2,28,4,808.0,815,908.0,925,MQ,3664,N662EH,60.0,70.0,41.0,-17.0,-7.0,TUL,DFW,237,8.0,11.0,0,,0,,,,,
4040604,2008,7,17,4,2240.0,2135,33.0,2330,MQ,4721,N711PH,113.0,115.0,66.0,63.0,65.0,JFK,RDU,426,4.0,43.0,0,,0,0.0,0.0,0.0,0.0,63.0
3301034,2008,6,20,5,833.0,836,1050.0,1035,DL,1529,N6705Y,317.0,299.0,297.0,15.0,-3.0,ATL,PDX,2172,2.0,18.0,0,,0,0.0,0.0,15.0,0.0,0.0
2682004,2008,5,30,5,2123.0,2120,2245.0,2248,US,1466,N526AU,82.0,88.0,64.0,-3.0,3.0,DCA,MHT,407,5.0,13.0,0,,0,,,,,
5140005,2008,9,11,4,1421.0,1330,1555.0,1507,EV,4922,N844AS,94.0,97.0,79.0,48.0,51.0,CHO,ATL,457,10.0,5.0,0,,0,48.0,0.0,0.0,0.0,0.0
1248045,2008,3,25,2,2021.0,2015,2050.0,2030,WN,2266,N340LV,89.0,75.0,58.0,20.0,6.0,ABQ,PHX,328,12.0,19.0,0,,0,0.0,0.0,14.0,0.0,6.0
5975992,2008,11,13,4,937.0,940,1216.0,1225,WN,554,N798SW,99.0,105.0,89.0,-9.0,-3.0,SAN,ABQ,628,3.0,7.0,0,,0,,,,,
5566753,2008,10,9,4,708.0,718,1001.0,1029,OO,6016,N941SW,113.0,131.0,93.0,-28.0,-10.0,ORD,HPN,738,4.0,16.0,0,,0,,,,,
6196222,2008,11,1,6,728.0,730,937.0,950,WN,2612,N715SW,129.0,140.0,110.0,-13.0,-2.0,BWI,MCO,787,7.0,12.0,0,,0,,,,,
3630552,2008,7,10,4,1445.0,1445,1638.0,1645,WN,2214,N788SA,113.0,120.0,98.0,-7.0,0.0,SJC,SEA,697,7.0,8.0,0,,0,,,,,
315192,2008,1,25,5,947.0,950,1134.0,1121,DL,1209,N902DA,167.0,151.0,128.0,13.0,-3.0,ATL,DFW,732,11.0,28.0,0,,0,,,,,
280198,2008,1,19,6,1624.0,1530,,1714,US,1256,N701UW,,104.0,,,54.0,TPA,CLT,508,,26.0,0,,1,,,,,
5180716,2008,9,15,1,506.0,510,549.0,551,HA,108,N481HA,43.0,41.0,27.0,-2.0,-4.0,HNL,KOA,163,5.0,11.0,0,,0,,,,,
2545252,2008,5,11,7,1200.0,1115,1415.0,1318,OH,5297,N675BR,135.0,123.0,103.0,57.0,45.0,ORF,ATL,516,14.0,18.0,0,,0,45.0,0.0,12.0,0.0,0.0
4186694,2008,7,7,1,1034.0,1008,1936.0,1845,CO,16,N14106,362.0,337.0,309.0,51.0,26.0,LAX,EWR,2454,11.0,42.0,0,,0,0.0,0.0,51.0,0.0,0.0
3871189,2008,7,14,1,1302.0,1243,1813.0,1812,UA,1630,N495UA,191.0,209.0,175.0,1.0,19.0,PHX,ORD,1440,5.0,11.0,0,,0,,,,,
6390577,2008,11,2,7,1659.0,1610,1905.0,1710,AA,1803,N4YMAA,246.0,180.0,151.0,115.0,49.0,DFW,LAS,1055,15.0,80.0,0,,0,0.0,0.0,115.0,0.0,0.0
1993533,2008,4,11,5,1124.0,1013,1149.0,1044,OO,5954,N967SW,85.0,91.0,74.0,65.0,71.0,LEX,ORD,323,4.0,7.0,0,,0,0.0,0.0,0.0,0.0,65.0
1706945,2008,3,24,1,1345.0,1345,1645.0,1650,AA,2228,N630AA,120.0,125.0,93.0,-5.0,0.0,HDN,DFW,769,10.0,17.0,0,,0,,,,,
2779278,2008,5,18,7,1149.0,1140,1256.0,1240,MQ,3521,N731BE,67.0,60.0,49.0,16.0,9.0,DFW,FSM,228,3.0,15.0,0,,0,0.0,0.0,7.0,0.0,9.0
2072036,2008,4,23,3,841.0,845,1642.0,1653,US,750,N756US,301.0,308.0,288.0,-11.0,-4.0,PDX,PHL,2406,4.0,9.0,0,,0,,,,,
4472201,2008,8,18,1,1656.0,1655,2002.0,2006,UA,554,N334UA,126.0,131.0,106.0,-4.0,1.0,ORD,BDL,783,3.0,17.0,0,,0,,,,,
4416172,2008,8,8,5,1715.0,1702,2057.0,2045,OO,3774,N609SK,162.0,163.0,142.0,12.0,13.0,SLC,AUS,1085,6.0,14.0,0,,0,,,,,
6122406,2008,11,7,5,1342.0,1328,1506.0,1506,OO,6478,N979SW,84.0,98.0,72.0,0.0,14.0,BZN,DEN,525,6.0,6.0,0,,0,,,,,
749244,2008,2,3,7,1055.0,1055,1158.0,1225,OH,5261,N937CA,63.0,90.0,46.0,-27.0,0.0,RIC,LGA,292,6.0,11.0,0,,0,,,,,
5076817,2008,9,4,4,1554.0,1600,1806.0,1806,US,859,N506AU,132.0,126.0,106.0,0.0,-6.0,MCO,DCA,759,5.0,21.0,0,,0,,,,,
4343275,2008,8,12,2,918.0,930,1029.0,1027,XE,2775,N15509,71.0,57.0,39.0,2.0,-12.0,GRR,CLE,214,8.0,24.0,0,,0,,,,,
6495557,2008,12,12,5,1618.0,1600,1712.0,1700,WN,3326,N408WN,114.0,120.0,101.0,12.0,18.0,MCO,BNA,616,5.0,8.0,0,,0,,,,,
2476741,2008,5,29,4,710.0,715,922.0,930,WN,3221,N417WN,72.0,75.0,55.0,-8.0,-5.0,SEA,BOI,399,3.0,14.0,0,,0,,,,,
4065101,2008,7,5,6,1657.0,1659,1804.0,1811,NW,1011,N315US,67.0,72.0,44.0,-7.0,-2.0,DTW,IND,231,14.0,9.0,0,,0,,,,,
4714450,2008,8,21,4,1412.0,1330,2242.0,2210,AA,178,N324AA,330.0,340.0,300.0,32.0,42.0,SFO,JFK,2586,9.0,21.0,0,,0,0.0,0.0,32.0,0.0,0.0
2344407,2008,4,19,6,901.0,900,1024.0,1025,CO,481,N78866,263.0,265.0,238.0,-1.0,1.0,CLE,LAS,1825,12.0,13.0,0,,0,,,,,
382577,2008,1,7,1,2037.0,2040,2151.0,2200,MQ,3182,N810AE,74.0,80.0,64.0,-9.0,-3.0,SNA,SFO,372,3.0,7.0,0,,0,,,,,
3829434,2008,7,31,4,952.0,955,1043.0,1048,OO,5459,N581SW,51.0,53.0,31.0,-5.0,-3.0,LAX,PSP,110,4.0,16.0,0,,0,,,,,
5665346,2008,10,16,4,1231.0,1130,1451.0,1356,DL,1694,N672DL,80.0,86.0,61.0,55.0,61.0,MSY,ATL,425,9.0,10.0,0,,0,0.0,0.0,0.0,0.0,55.0
1388835,2008,3,26,3,954.0,1000,1256.0,1257,OO,6605,N953SW,122.0,117.0,91.0,-1.0,-6.0,DEN,MLI,751,3.0,28.0,0,,0,,,,,
898290,2008,2,21,4,557.0,600,907.0,837,DL,597,N957DL,130.0,97.0,72.0,30.0,-3.0,STL,ATL,483,9.0,49.0,0,,0,0.0,0.0,30.0,0.0,0.0
2649685,2008,5,4,7,856.0,858,1654.0,1700,US,12,N601AW,298.0,302.0,250.0,-6.0,-2.0,PHX,JFK,2153,19.0,29.0,0,,0,,,,,
1764478,2008,3,10,1,900.0,850,1154.0,1208,CO,1626,N37263,354.0,378.0,321.0,-14.0,10.0,EWR,SAN,2425,3.0,30.0,0,,0,,,,,
342380,2008,1,6,7,1209.0,1210,1416.0,1414,EV,4794,N930EV,67.0,64.0,47.0,2.0,-1.0,GTR,ATL,241,9.0,11.0,0,,0,,,,,
682445,2008,2,26,2,1819.0,1820,1916.0,1920,WN,3682,N601WN,57.0,60.0,41.0,-4.0,-1.0,LAS,SAN,258,3.0,13.0,0,,0,,,,,
6977112,2008,12,24,3,1545.0,1535,1650.0,1648,CO,1787,N14629,65.0,73.0,40.0,2.0,10.0,IAH,DFW,224,9.0,16.0,0,,0,,,,,
4400164,2008,8,24,7,1252.0,1300,1413.0,1425,OH,5441,N443CA,81.0,85.0,61.0,-12.0,-8.0,ROC,JFK,264,8.0,12.0,0,,0,,,,,
5056641,2008,9,14,7,600.0,600,718.0,722,UA,672,N466UA,78.0,82.0,57.0,-4.0,0.0,OMA,ORD,416,8.0,13.0,0,,0,,,,,
