orderNumber,orderLineNumber,customerNumber,employeeNumber,productCode,status,quantityOrdered,priceEach,sales_amount,origin,complete_order_number,customer-check,amount,checkNumber,paymentDate
10102,2,181,1286,S18_1342,Shipped,39,95.55,3726.45,spain,10102-2,181-GQ132144,5494.78,GQ132144,2003-01-30
10102,2,181,1286,S18_1342,Shipped,39,95.55,3726.45,spain,10102-2,181-OH367219,44400.5,OH367219,2004-11-16
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,121-DB889831,50218.95,DB889831,2003-02-16
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,121-FD317790,1491.38,FD317790,2003-10-28
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,121-KI831359,17876.32,KI831359,2004-11-04
10103,1,121,1504,S24_2300,Shipped,36,107.34,3864.24,spain,10103-1,121-MA302151,34638.14,MA302151,2004-11-28
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,121-DB889831,50218.95,DB889831,2003-02-16
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,121-FD317790,1491.38,FD317790,2003-10-28
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,121-KI831359,17876.32,KI831359,2004-11-04
10103,2,121,1504,S18_2432,Shipped,22,58.34,1283.48,spain,10103-2,121-MA302151,34638.14,MA302151,2004-11-28
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,121-DB889831,50218.95,DB889831,2003-02-16
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,121-FD317790,1491.38,FD317790,2003-10-28
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,121-KI831359,17876.32,KI831359,2004-11-04
10103,3,121,1504,S32_1268,Shipped,31,92.46,2866.26,spain,10103-3,121-MA302151,34638.14,MA302151,2004-11-28
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,121-DB889831,50218.95,DB889831,2003-02-16
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,121-FD317790,1491.38,FD317790,2003-10-28
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,121-KI831359,17876.32,KI831359,2004-11-04
10103,4,121,1504,S10_4962,Shipped,42,119.67,5026.14,spain,10103-4,121-MA302151,34638.14,MA302151,2004-11-28
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,121-DB889831,50218.95,DB889831,2003-02-16
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,121-FD317790,1491.38,FD317790,2003-10-28
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,121-KI831359,17876.32,KI831359,2004-11-04
10103,5,121,1504,S18_4600,Shipped,36,98.07,3530.52,spain,10103-5,121-MA302151,34638.14,MA302151,2004-11-28
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,121-DB889831,50218.95,DB889831,2003-02-16
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,121-FD317790,1491.38,FD317790,2003-10-28
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,121-KI831359,17876.32,KI831359,2004-11-04
10103,6,121,1504,S700_2824,Shipped,42,94.07,3950.94,spain,10103-6,121-MA302151,34638.14,MA302151,2004-11-28
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,121-DB889831,50218.95,DB889831,2003-02-16
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,121-FD317790,1491.38,FD317790,2003-10-28
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,121-KI831359,17876.32,KI831359,2004-11-04
10103,7,121,1504,S32_3522,Shipped,45,63.35,2850.75,spain,10103-7,121-MA302151,34638.14,MA302151,2004-11-28
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,121-DB889831,50218.95,DB889831,2003-02-16
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,121-FD317790,1491.38,FD317790,2003-10-28
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,121-KI831359,17876.32,KI831359,2004-11-04
10103,8,121,1504,S12_1666,Shipped,27,121.64,3284.28,spain,10103-8,121-MA302151,34638.14,MA302151,2004-11-28
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,121-DB889831,50218.95,DB889831,2003-02-16
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,121-FD317790,1491.38,FD317790,2003-10-28
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,121-KI831359,17876.32,KI831359,2004-11-04
10103,9,121,1504,S18_4668,Shipped,41,40.75,1670.75,spain,10103-9,121-MA302151,34638.14,MA302151,2004-11-28
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,121-DB889831,50218.95,DB889831,2003-02-16
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,121-FD317790,1491.38,FD317790,2003-10-28
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,121-KI831359,17876.32,KI831359,2004-11-04
10103,10,121,1504,S18_1097,Shipped,35,94.5,3307.5,spain,10103-10,121-MA302151,34638.14,MA302151,2004-11-28
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,121-DB889831,50218.95,DB889831,2003-02-16
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,121-FD317790,1491.38,FD317790,2003-10-28
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,121-KI831359,17876.32,KI831359,2004-11-04
10103,11,121,1504,S10_1949,Shipped,26,214.3,5571.8,spain,10103-11,121-MA302151,34638.14,MA302151,2004-11-28
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,121-DB889831,50218.95,DB889831,2003-02-16
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,121-FD317790,1491.38,FD317790,2003-10-28
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,121-KI831359,17876.32,KI831359,2004-11-04
10103,12,121,1504,S18_2949,Shipped,27,92.19,2489.13,spain,10103-12,121-MA302151,34638.14,MA302151,2004-11-28
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,121-DB889831,50218.95,DB889831,2003-02-16
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,121-FD317790,1491.38,FD317790,2003-10-28
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,121-KI831359,17876.32,KI831359,2004-11-04
10103,13,121,1504,S18_3136,Shipped,25,86.92,2173.0,spain,10103-13,121-MA302151,34638.14,MA302151,2004-11-28
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,121-DB889831,50218.95,DB889831,2003-02-16
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,121-FD317790,1491.38,FD317790,2003-10-28
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,121-KI831359,17876.32,KI831359,2004-11-04
10103,14,121,1504,S18_2957,Shipped,35,61.84,2164.4,spain,10103-14,121-MA302151,34638.14,MA302151,2004-11-28
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,121-DB889831,50218.95,DB889831,2003-02-16
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,121-FD317790,1491.38,FD317790,2003-10-28
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,121-KI831359,17876.32,KI831359,2004-11-04
10103,15,121,1504,S24_4258,Shipped,25,88.62,2215.5,spain,10103-15,121-MA302151,34638.14,MA302151,2004-11-28
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,121-DB889831,50218.95,DB889831,2003-02-16
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,121-FD317790,1491.38,FD317790,2003-10-28
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,121-KI831359,17876.32,KI831359,2004-11-04
10103,16,121,1504,S18_3320,Shipped,46,86.31,3970.26,spain,10103-16,121-MA302151,34638.14,MA302151,2004-11-28
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-AU364101,36251.03,AU364101,2003-07-19
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-DB583216,36140.38,DB583216,2004-11-01
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-DL460618,46895.48,DL460618,2005-05-19
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-IN446258,65071.26,IN446258,2005-03-25
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-JN355280,49539.37,JN355280,2003-10-26
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-JN722010,40206.2,JN722010,2003-02-25
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-KT52578,63843.55,KT52578,2003-12-09
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-MC46946,35420.74,MC46946,2004-07-09
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-MF629602,20009.53,MF629602,2004-08-16
10104,1,141,1370,S12_3148,Shipped,34,131.44,4468.96,spain,10104-1,141-NU627706,26155.91,NU627706,2004-05-17
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-AU364101,36251.03,AU364101,2003-07-19
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-DB583216,36140.38,DB583216,2004-11-01
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-DL460618,46895.48,DL460618,2005-05-19
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-IN446258,65071.26,IN446258,2005-03-25
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-JN355280,49539.37,JN355280,2003-10-26
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-JN722010,40206.2,JN722010,2003-02-25
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-KT52578,63843.55,KT52578,2003-12-09
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-MC46946,35420.74,MC46946,2004-07-09
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-MF629602,20009.53,MF629602,2004-08-16
10104,2,141,1370,S50_1514,Shipped,32,53.31,1705.92,spain,10104-2,141-NU627706,26155.91,NU627706,2004-05-17
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-AU364101,36251.03,AU364101,2003-07-19
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-DB583216,36140.38,DB583216,2004-11-01
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-DL460618,46895.48,DL460618,2005-05-19
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-IN446258,65071.26,IN446258,2005-03-25
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-JN355280,49539.37,JN355280,2003-10-26
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-JN722010,40206.2,JN722010,2003-02-25
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-KT52578,63843.55,KT52578,2003-12-09
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-MC46946,35420.74,MC46946,2004-07-09
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-MF629602,20009.53,MF629602,2004-08-16
10104,3,141,1370,S18_4027,Shipped,38,119.2,4529.6,spain,10104-3,141-NU627706,26155.91,NU627706,2004-05-17
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-AU364101,36251.03,AU364101,2003-07-19
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-DB583216,36140.38,DB583216,2004-11-01
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-DL460618,46895.48,DL460618,2005-05-19
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-IN446258,65071.26,IN446258,2005-03-25
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-JN355280,49539.37,JN355280,2003-10-26
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-JN722010,40206.2,JN722010,2003-02-25
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-KT52578,63843.55,KT52578,2003-12-09
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-MC46946,35420.74,MC46946,2004-07-09
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-MF629602,20009.53,MF629602,2004-08-16
10104,4,141,1370,S32_3207,Shipped,49,56.55,2770.95,spain,10104-4,141-NU627706,26155.91,NU627706,2004-05-17
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-AU364101,36251.03,AU364101,2003-07-19
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-DB583216,36140.38,DB583216,2004-11-01
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-DL460618,46895.48,DL460618,2005-05-19
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-IN446258,65071.26,IN446258,2005-03-25
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-JN355280,49539.37,JN355280,2003-10-26
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-JN722010,40206.2,JN722010,2003-02-25
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-KT52578,63843.55,KT52578,2003-12-09
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-MC46946,35420.74,MC46946,2004-07-09
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-MF629602,20009.53,MF629602,2004-08-16
10104,5,141,1370,S24_4048,Shipped,26,106.45,2767.7,spain,10104-5,141-NU627706,26155.91,NU627706,2004-05-17
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-AU364101,36251.03,AU364101,2003-07-19
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-DB583216,36140.38,DB583216,2004-11-01
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-DL460618,46895.48,DL460618,2005-05-19
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-IN446258,65071.26,IN446258,2005-03-25
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-JN355280,49539.37,JN355280,2003-10-26
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-JN722010,40206.2,JN722010,2003-02-25
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-KT52578,63843.55,KT52578,2003-12-09
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-MC46946,35420.74,MC46946,2004-07-09
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-MF629602,20009.53,MF629602,2004-08-16
10104,6,141,1370,S24_1444,Shipped,35,52.02,1820.7,spain,10104-6,141-NU627706,26155.91,NU627706,2004-05-17
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-AU364101,36251.03,AU364101,2003-07-19
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-DB583216,36140.38,DB583216,2004-11-01
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-DL460618,46895.48,DL460618,2005-05-19
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-IN446258,65071.26,IN446258,2005-03-25
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-JN355280,49539.37,JN355280,2003-10-26
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-JN722010,40206.2,JN722010,2003-02-25
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-KT52578,63843.55,KT52578,2003-12-09
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-MC46946,35420.74,MC46946,2004-07-09
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-MF629602,20009.53,MF629602,2004-08-16
10104,7,141,1370,S50_1392,Shipped,33,114.59,3781.47,spain,10104-7,141-NU627706,26155.91,NU627706,2004-05-17
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-AU364101,36251.03,AU364101,2003-07-19
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-DB583216,36140.38,DB583216,2004-11-01
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-DL460618,46895.48,DL460618,2005-05-19
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-IN446258,65071.26,IN446258,2005-03-25
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-JN355280,49539.37,JN355280,2003-10-26
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-JN722010,40206.2,JN722010,2003-02-25
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-KT52578,63843.55,KT52578,2003-12-09
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-MC46946,35420.74,MC46946,2004-07-09
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-MF629602,20009.53,MF629602,2004-08-16
10104,8,141,1370,S18_2238,Shipped,24,135.9,3261.6,spain,10104-8,141-NU627706,26155.91,NU627706,2004-05-17
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-AU364101,36251.03,AU364101,2003-07-19
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-DB583216,36140.38,DB583216,2004-11-01
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-DL460618,46895.48,DL460618,2005-05-19
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-IN446258,65071.26,IN446258,2005-03-25
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-JN355280,49539.37,JN355280,2003-10-26
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-JN722010,40206.2,JN722010,2003-02-25
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-KT52578,63843.55,KT52578,2003-12-09
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-MC46946,35420.74,MC46946,2004-07-09
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-MF629602,20009.53,MF629602,2004-08-16
10104,9,141,1370,S12_4473,Shipped,41,111.39,4566.99,spain,10104-9,141-NU627706,26155.91,NU627706,2004-05-17
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-AU364101,36251.03,AU364101,2003-07-19
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-DB583216,36140.38,DB583216,2004-11-01
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-DL460618,46895.48,DL460618,2005-05-19
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-IN446258,65071.26,IN446258,2005-03-25
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-JN355280,49539.37,JN355280,2003-10-26
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-JN722010,40206.2,JN722010,2003-02-25
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-KT52578,63843.55,KT52578,2003-12-09
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-MC46946,35420.74,MC46946,2004-07-09
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-MF629602,20009.53,MF629602,2004-08-16
10104,10,141,1370,S24_2840,Shipped,44,30.41,1338.04,spain,10104-10,141-NU627706,26155.91,NU627706,2004-05-17
10104,11,141,1370,S32_2509,Shipped,35,51.95,1818.25,spain,10104-11,141-AU364101,36251.03,AU364101,2003-07-19
10104,11,141,1370,S32_2509,Shipped,35,51.95,1818.25,spain,10104-11,141-DB583216,36140.38,DB583216,2004-11-01
10104,11,141,1370,S32_2509,Shipped,35,51.95,1818.25,spain,10104-11,141-DL460618,46895.48,DL460618,2005-05-19
10104,11,141,1370,S32_2509,Shipped,35,51.95,1818.25,spain,10104-11,141-HJ32686,59830.55,HJ32686,2004-01-30
10104,11,141,1370,S32_2509,Shipped,35,51.95,1818.25,spain,10104-11,141-IN446258,65071.26,IN446258,2005-03-25
10104,11,141,1370,S32_2509,Shipped,35,51.95,1818.25,spain,10104-11,141-JN355280,49539.37,JN355280,2003-10-26
10104,11,141,1370,S32_2509,Shipped,35,51.95,1818.25,spain,10104-11,141-JN722010,40206.2,JN722010,2003-02-25
